"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,374,14273094,2.62,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,2.08,3.16,2.57,0.43,0.67,0.54,-57.18,-33.11,-46.29,"2016-2018"
1997,337,16129864,2.09,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,2.09,2.82,2.42,0.42,0.59,0.51,-57.54,-40.71,-49.34,"2016-2018"
1998,491,20714198,2.37,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,2,2.51,2.25,0.41,0.53,0.47,-58.86,-46.56,-52.98,"2016-2018"
1999,502,25859311,1.94,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.8,2.2,1.99,0.37,0.47,0.42,-63.11,-53.36,-58.37,"2016-2018"
2000,680,30641648,2.22,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.67,2,1.83,0.34,0.42,0.38,-66.1,-57.63,-61.81,"2016-2018"
2001,611,34847937,1.75,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.56,1.86,1.7,0.32,0.39,0.36,-68.38,-60.69,-64.47,"2016-2018"
2002,699,37860565,1.85,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.5,1.77,1.62,0.3,0.38,0.34,-69.89,-62.49,-66.12,"2016-2018"
2003,513,41753349,1.23,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.41,1.66,1.54,0.29,0.36,0.32,-71.46,-64.37,-67.91,"2016-2018"
2004,515,44344180,1.16,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.39,1.63,1.5,0.28,0.35,0.31,-72.21,-65.13,-68.59,"2016-2018"
2005,607,44766459,1.36,2589,49669350,2208.45,2556.06,2379.26,4.45,5.15,4.79,1.4,1.63,1.52,0.28,0.35,0.32,-71.87,-64.76,-68.28,"2016-2018"
