"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,147,14273094,1.03,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.83,1.27,1.04,2.35,3.71,2.99,135.36,271.18,198.64,"2006-2008"
1997,139,16129864,0.86,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.77,1.04,0.9,2.16,3.05,2.59,115.87,205.3,159.42,"2006-2008"
1998,181,20714198,0.87,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.62,0.79,0.71,1.73,2.35,2.03,72.63,134.92,103.26,"2006-2008"
1999,162,25859311,0.63,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.56,0.72,0.64,1.56,2.14,1.84,56.47,113.89,84.14,"2006-2008"
2000,133,30641648,0.43,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.49,0.62,0.55,1.35,1.83,1.59,34.6,82.5,58.53,"2006-2008"
2001,144,34847937,0.41,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.42,0.52,0.47,1.17,1.57,1.36,17.49,56.54,35.51,"2006-2008"
2002,169,37860565,0.45,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.38,0.47,0.42,1.07,1.39,1.23,6.91,39.32,22.55,"2006-2008"
2003,162,41753349,0.39,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.37,0.45,0.4,1.03,1.3,1.17,3.31,30.12,16.78,"2006-2008"
2004,175,44344180,0.39,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.34,0.42,0.38,0.98,1.19,1.09,-1.65,19.13,9.01,"2006-2008"
2005,163,44766459,0.36,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.33,0.4,0.37,0.98,1.13,1.05,-1.89,13.17,5.42,"2006-2008"
2006,163,45324523,0.36,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.32,0.39,0.36,0.99,1.06,1.02,-1.41,6.47,2.35,"2006-2008"
2007,164,45842135,0.36,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.32,0.38,0.35,0.99,1,1,-0.9,0.05,0,"2006-2008"
2008,166,46326017,0.36,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.31,0.37,0.34,0.95,1.02,0.98,-5.24,2.22,-1.51,"2006-2008"
2009,152,46759709,0.33,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.31,0.37,0.34,0.91,1.05,0.98,-9.19,4.6,-2.49,"2006-2008"
2010,159,47144778,0.34,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.3,0.37,0.34,0.88,1.06,0.97,-12.2,6.37,-3.29,"2006-2008"
2011,163,47523111,0.34,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.31,0.37,0.33,0.85,1.07,0.96,-14.67,7.23,-3.58,"2006-2008"
2012,162,47896024,0.34,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.31,0.37,0.34,0.86,1.1,0.98,-14.25,10.28,-2.19,"2006-2008"
2013,177,48216768,0.37,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.32,0.39,0.36,0.89,1.17,1.03,-10.57,17.23,3.08,"2006-2008"
2014,136,48574193,0.28,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.36,0.44,0.4,1,1.31,1.15,-0.38,31.41,15.09,"2006-2008"
2015,154,48948539,0.31,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.43,0.52,0.47,1.19,1.55,1.37,18.53,54.74,36.75,"2006-2008"
2016,318,49329732,0.64,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.54,0.65,0.59,1.5,1.93,1.71,49.78,92.76,70.6,"2006-2008"
2017,498,49669350,1,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.68,0.82,0.75,1.88,2.44,2.16,87.5,143.87,115.55,"2006-2008"
2018,477,49976013,0.95,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,0.84,1.01,0.92,2.32,3.02,2.66,132.49,202.12,165.79,"2006-2008"
2019,681,50230232,1.36,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,1.01,1.2,1.1,2.8,3.59,3.17,180.06,259.09,217.15,"2006-2008"
2020,457,50800839,0.9,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,1.19,1.42,1.3,3.3,4.26,3.75,230.44,325.77,274.84,"2006-2008"
2021,700,50850418,1.38,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,1.43,1.71,1.57,3.95,5.11,4.52,295.07,410.72,351.59,"2006-2008"
2022,1011,51000988,1.98,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,1.76,2.14,1.95,4.87,6.37,5.61,387.46,536.62,461.43,"2006-2008"
2023,1345,51000988,2.64,164,45842135,144.7,174.04,158.97,0.32,0.38,0.35,2.18,2.84,2.49,6.1,8.41,7.18,510.08,741.02,618.31,"2006-2008"
