"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,147,14273094,1.03,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.83,1.27,1.04,1.1,1.73,1.38,9.6,72.77,38.43,"2016-2018"
1997,139,16129864,0.86,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.77,1.04,0.9,1,1.41,1.2,-0.02,40.98,20.21,"2016-2018"
1998,181,20714198,0.87,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.62,0.79,0.71,0.81,1.09,0.94,-19.26,8.82,-5.87,"2016-2018"
1999,162,25859311,0.63,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.56,0.72,0.64,0.73,0.99,0.85,-27.26,-0.8,-14.69,"2016-2018"
2000,133,30641648,0.43,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.49,0.62,0.55,0.62,0.85,0.74,-37.83,-15.37,-26.5,"2016-2018"
2001,144,34847937,0.41,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.42,0.52,0.47,0.54,0.72,0.63,-46.23,-27.55,-37.2,"2016-2018"
2002,169,37860565,0.45,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.38,0.47,0.42,0.49,0.65,0.57,-51.34,-35.13,-43.2,"2016-2018"
2003,162,41753349,0.39,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.37,0.45,0.4,0.47,0.61,0.54,-53.3,-38.6,-45.9,"2016-2018"
2004,175,44344180,0.39,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.34,0.42,0.38,0.44,0.58,0.51,-55.66,-42.49,-49.48,"2016-2018"
2005,163,44766459,0.36,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.33,0.4,0.37,0.43,0.56,0.49,-57.07,-44.42,-51.07,"2016-2018"
2006,163,45324523,0.36,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.32,0.39,0.36,0.41,0.54,0.47,-58.51,-46.17,-52.52,"2016-2018"
2007,164,45842135,0.36,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.32,0.38,0.35,0.4,0.53,0.46,-59.59,-47.38,-53.63,"2016-2018"
2008,166,46326017,0.36,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.31,0.37,0.34,0.4,0.52,0.46,-60.16,-48,-54.37,"2016-2018"
2009,152,46759709,0.33,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.31,0.37,0.34,0.39,0.52,0.45,-60.56,-48.5,-54.81,"2016-2018"
2010,159,47144778,0.34,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.3,0.37,0.34,0.39,0.51,0.45,-60.99,-49.08,-55.17,"2016-2018"
2011,163,47523111,0.34,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.31,0.37,0.33,0.39,0.51,0.45,-60.84,-48.94,-55.33,"2016-2018"
2012,162,47896024,0.34,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.31,0.37,0.34,0.39,0.52,0.45,-60.51,-48.36,-54.69,"2016-2018"
2013,177,48216768,0.37,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.32,0.39,0.36,0.42,0.54,0.48,-58.43,-45.61,-52.18,"2016-2018"
2014,136,48574193,0.28,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.36,0.44,0.4,0.47,0.6,0.53,-52.99,-39.78,-46.54,"2016-2018"
2015,154,48948539,0.31,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.43,0.52,0.47,0.57,0.69,0.64,-42.76,-30.67,-36.46,"2016-2018"
2016,318,49329732,0.64,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.54,0.65,0.59,0.75,0.83,0.79,-24.78,-17.02,-20.77,"2016-2018"
2017,498,49669350,1,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.68,0.82,0.75,1,1,1,0,0,0,"2016-2018"
2018,477,49976013,0.95,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,0.84,1.01,0.92,1.19,1.28,1.23,18.89,27.92,23.29,"2016-2018"
2019,681,50230232,1.36,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,1.01,1.2,1.1,1.36,1.58,1.47,35.88,57.61,47.1,"2016-2018"
2020,457,50800839,0.9,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,1.19,1.42,1.3,1.55,1.94,1.74,55.23,93.83,74.04,"2016-2018"
2021,700,50850418,1.38,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,1.43,1.71,1.57,1.81,2.36,2.1,80.75,135.89,109.75,"2016-2018"
2022,1011,51000988,1.98,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,1.76,2.14,1.95,2.25,2.97,2.6,124.65,196.64,160.41,"2016-2018"
2023,1345,51000988,2.64,477,49669350,338.94,407.76,371.5,0.68,0.82,0.75,2.18,2.84,2.49,2.82,3.9,3.33,182.26,290.26,233.04,"2016-2018"
