"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
2009,1854,46759709,3.96,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.42,5.83,5.07,0.76,0.99,0.86,-24.36,-1.37,-13.73,"2004-2006"
2010,1779,47144778,3.77,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.32,5.69,4.96,0.73,0.98,0.84,-27.22,-2.11,-15.69,"2004-2006"
2011,1541,47523111,3.24,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.3,5.64,4.89,0.71,0.97,0.83,-29.02,-2.53,-16.88,"2004-2006"
2012,2187,47896024,4.57,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.27,5.58,4.86,0.7,0.98,0.83,-29.68,-2.16,-17.36,"2004-2006"
2013,2511,48216768,5.21,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.28,5.57,4.86,0.69,0.98,0.83,-30.72,-2.32,-17.27,"2004-2006"
2014,2905,48574193,5.98,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.28,5.58,4.89,0.69,0.99,0.83,-31.09,-1.39,-16.86,"2004-2006"
2015,3175,48948539,6.49,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.31,5.58,4.9,0.69,1,0.83,-30.62,-0.3,-16.61,"2004-2006"
2016,2936,49329732,5.95,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.29,5.52,4.88,0.69,1,0.83,-30.9,-0.47,-16.99,"2004-2006"
2017,2141,49669350,4.31,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.27,5.45,4.81,0.67,0.97,0.82,-32.88,-3.07,-18.22,"2004-2006"
2018,2456,49976013,4.91,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.21,5.34,4.73,0.66,0.95,0.8,-33.91,-4.56,-19.75,"2004-2006"
2019,2429,50230232,4.84,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.11,5.25,4.65,0.65,0.94,0.79,-35.22,-5.88,-20.94,"2004-2006"
2020,1561,50800839,3.07,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.05,5.25,4.64,0.64,0.94,0.79,-35.61,-5.7,-21.18,"2004-2006"
2021,1778,50850418,3.5,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.07,5.37,4.7,0.65,0.96,0.8,-35.48,-3.95,-20.1,"2004-2006"
2022,2486,51000988,4.87,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.18,5.69,4.88,0.66,1.01,0.83,-34.21,0.96,-17.03,"2004-2006"
2023,2894,51000988,5.67,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.26,6.3,5.2,0.68,1.12,0.88,-31.51,11.67,-11.66,"2004-2006"
