"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,1269,14273094,8.89,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,6.37,11.2,8.58,1.07,1.95,1.46,6.55,95.27,45.74,"2004-2006"
1997,1269,16129864,7.87,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,6.69,10.27,8.34,1.09,1.77,1.42,9.14,77.5,41.88,"2004-2006"
1998,1480,20714198,7.14,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,5.89,8.42,7.03,0.95,1.46,1.2,-4.66,45.53,19.99,"2004-2006"
1999,966,25859311,3.74,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,6.24,9.19,7.65,1.03,1.58,1.3,2.84,57.93,30.47,"2004-2006"
2000,2350,30641648,7.67,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,6.43,9.03,7.66,1.07,1.55,1.3,6.62,54.92,30.47,"2004-2006"
2001,2219,34847937,6.37,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,6.4,8.63,7.45,1.06,1.47,1.27,6.24,46.77,26.79,"2004-2006"
2002,4113,37860565,10.86,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,6.05,8.08,7.03,1.03,1.37,1.19,3.45,36.6,19.34,"2004-2006"
2003,3039,41753349,7.28,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,5.82,7.62,6.61,1.02,1.23,1.12,1.91,23.32,12.33,"2004-2006"
2004,2248,44344180,5.07,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,5.52,7.14,6.26,1.01,1.11,1.06,0.95,10.87,6.34,"2004-2006"
2005,2095,44766459,4.68,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,5.16,6.7,5.88,1,1,1,0,0,0,"2004-2006"
2006,2765,45324523,6.1,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.91,6.4,5.59,0.91,0.99,0.95,-8.67,-1.23,-4.84,"2004-2006"
2007,2869,45842135,6.26,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.71,6.19,5.38,0.84,0.99,0.92,-15.54,-0.96,-8.47,"2004-2006"
2008,3043,46326017,6.57,2248,44766459,2308.53,2999.45,2632.15,5.16,6.7,5.88,4.55,6,5.21,0.8,0.99,0.89,-20.3,-0.74,-11.35,"2004-2006"
