"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,3367,14273094,23.59,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,22.58,26.48,24.46,1.24,1.47,1.35,23.91,47,34.54,"2016-2018"
1997,3960,16129864,24.55,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,20.71,23.1,21.9,1.13,1.28,1.2,13.11,28.15,20.4,"2016-2018"
1998,4022,20714198,19.42,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,18.04,19.68,18.85,0.98,1.09,1.04,-1.71,9.34,3.65,"2016-2018"
1999,3832,25859311,14.82,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,15.71,17.01,16.36,0.85,0.95,0.9,-14.58,-5.2,-10.01,"2016-2018"
2000,4708,30641648,15.36,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,14.52,15.69,15.1,0.79,0.87,0.83,-21.24,-12.54,-16.97,"2016-2018"
2001,4751,34847937,13.63,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,13.52,14.58,14.05,0.73,0.81,0.77,-26.63,-18.67,-22.7,"2016-2018"
2002,5064,37860565,13.38,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.89,13.85,13.38,0.7,0.77,0.74,-30.08,-22.67,-26.43,"2016-2018"
2003,5272,41753349,12.63,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.27,13.15,12.69,0.67,0.73,0.7,-33.39,-26.67,-30.17,"2016-2018"
2004,5686,44344180,12.82,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.43,13.28,12.85,0.67,0.74,0.71,-32.79,-26.11,-29.33,"2016-2018"
2005,5692,44766459,12.71,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.37,13.2,12.79,0.67,0.74,0.7,-32.99,-26.36,-29.69,"2016-2018"
2006,5770,45324523,12.73,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.32,13.15,12.73,0.67,0.73,0.7,-33.22,-26.5,-29.98,"2016-2018"
2007,5871,45842135,12.81,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.38,13.22,12.77,0.67,0.74,0.7,-33.12,-26.17,-29.74,"2016-2018"
2008,5859,46326017,12.65,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.57,13.43,12.99,0.68,0.75,0.71,-32.07,-24.96,-28.55,"2016-2018"
2009,6066,46759709,12.97,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,12.95,13.83,13.39,0.7,0.77,0.74,-29.83,-22.73,-26.37,"2016-2018"
2010,6375,47144778,13.52,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,13.44,14.34,13.9,0.73,0.8,0.76,-27.09,-19.86,-23.54,"2016-2018"
2011,6785,47523111,14.28,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,14.03,14.96,14.47,0.76,0.83,0.8,-23.96,-16.63,-20.4,"2016-2018"
2012,7691,47896024,16.06,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,14.58,15.53,15.05,0.79,0.87,0.83,-20.95,-13.49,-17.2,"2016-2018"
2013,7693,48216768,15.96,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,15.17,16.17,15.67,0.83,0.9,0.86,-17.41,-10.12,-13.78,"2016-2018"
2014,7662,48574193,15.77,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,15.82,16.9,16.35,0.87,0.93,0.9,-13.3,-6.58,-10.02,"2016-2018"
2015,8492,48948539,17.35,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,16.51,17.65,17.08,0.91,0.96,0.94,-8.75,-3.56,-6.05,"2016-2018"
2016,8631,49329732,17.5,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,17.16,18.37,17.75,0.96,0.99,0.98,-3.85,-1,-2.41,"2016-2018"
2017,9515,49669350,19.16,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,17.56,18.79,18.19,1,1,1,0,0.01,0,"2016-2018"
2018,9831,49976013,19.67,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,17.76,18.9,18.31,0.99,1.02,1.01,-0.61,1.88,0.68,"2016-2018"
2019,9798,50230232,19.51,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,17.68,18.82,18.23,0.97,1.03,1,-2.91,3.11,0.28,"2016-2018"
2020,7258,50800839,14.29,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,17.6,18.87,18.23,0.96,1.05,1,-4.05,4.61,0.29,"2016-2018"
2021,9139,50850418,17.97,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,17.84,19.15,18.52,0.97,1.07,1.02,-3.06,6.79,1.87,"2016-2018"
2022,9806,51000988,19.23,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,18.51,19.91,19.2,1,1.11,1.06,0.47,11.04,5.63,"2016-2018"
2023,10939,51000988,21.45,9515,49669350,8713,9314.4,9032.38,17.54,18.75,18.19,19.26,21.42,20.28,1.05,1.19,1.12,5.11,18.64,11.56,"2016-2018"
