"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,147,14273094,1.03,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.83,1.27,1.04,2.22,3.53,2.83,121.69,253.43,182.66,"2004-2006"
1997,139,16129864,0.86,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.77,1.04,0.9,2.05,2.92,2.46,105.1,192.32,145.91,"2004-2006"
1998,181,20714198,0.87,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.62,0.79,0.71,1.64,2.22,1.93,63.59,122.47,92.56,"2004-2006"
1999,162,25859311,0.63,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.56,0.72,0.64,1.48,2.01,1.74,48.05,101.35,74.32,"2004-2006"
2000,133,30641648,0.43,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.49,0.62,0.55,1.29,1.72,1.5,28.7,72.48,50.13,"2004-2006"
2001,144,34847937,0.41,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.42,0.52,0.47,1.12,1.45,1.28,11.87,45.16,28.36,"2004-2006"
2002,169,37860565,0.45,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.38,0.47,0.42,1.04,1.29,1.16,4.15,29.16,16.11,"2004-2006"
2003,162,41753349,0.39,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.37,0.45,0.4,1.03,1.19,1.1,2.51,19.16,10.47,"2004-2006"
2004,175,44344180,0.39,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.34,0.42,0.38,0.99,1.07,1.03,-0.68,7.03,3.24,"2004-2006"
2005,163,44766459,0.36,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.33,0.4,0.37,0.99,1,1,-0.59,0.28,0,"2004-2006"
2006,163,45324523,0.36,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.32,0.39,0.36,0.93,1,0.97,-6.59,0.42,-3,"2004-2006"
2007,164,45842135,0.36,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.32,0.38,0.35,0.88,1.01,0.95,-11.85,1.16,-5.31,"2004-2006"
2008,166,46326017,0.36,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.31,0.37,0.34,0.84,1.02,0.93,-16.07,2.11,-6.79,"2004-2006"
2009,152,46759709,0.33,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.31,0.37,0.34,0.82,1.04,0.92,-17.87,3.68,-7.68,"2004-2006"
2010,159,47144778,0.34,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.3,0.37,0.34,0.8,1.04,0.92,-19.6,3.86,-8.34,"2004-2006"
2011,163,47523111,0.34,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.31,0.37,0.33,0.8,1.04,0.91,-20.07,4.37,-8.67,"2004-2006"
2012,162,47896024,0.34,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.31,0.37,0.34,0.8,1.06,0.93,-19.58,5.71,-7.44,"2004-2006"
2013,177,48216768,0.37,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.32,0.39,0.36,0.85,1.12,0.98,-15.34,12.18,-2.41,"2004-2006"
2014,136,48574193,0.28,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.36,0.44,0.4,0.94,1.25,1.09,-6.08,24.93,9.05,"2004-2006"
2015,154,48948539,0.31,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.43,0.52,0.47,1.12,1.47,1.3,12.13,47.16,29.67,"2004-2006"
2016,318,49329732,0.64,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.54,0.65,0.59,1.41,1.82,1.62,40.75,81.82,61.75,"2004-2006"
2017,498,49669350,1,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.68,0.82,0.75,1.79,2.31,2.04,78.82,131.39,104.33,"2004-2006"
2018,477,49976013,0.95,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,0.84,1.01,0.92,2.21,2.86,2.52,120.69,185.66,151.99,"2004-2006"
2019,681,50230232,1.36,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,1.01,1.2,1.1,2.64,3.4,3.01,164.23,239.64,200.66,"2004-2006"
2020,457,50800839,0.9,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,1.19,1.42,1.3,3.11,4.03,3.55,211.46,303.19,255.03,"2004-2006"
2021,700,50850418,1.38,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,1.43,1.71,1.57,3.75,4.88,4.28,274.75,387.55,327.76,"2004-2006"
2022,1011,51000988,1.98,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,1.76,2.14,1.95,4.65,6.08,5.32,365.42,507.5,431.76,"2004-2006"
2023,1345,51000988,2.64,163,44766459,149.3,180.08,163.91,0.33,0.4,0.37,2.18,2.84,2.49,5.76,7.93,6.81,475.61,693.11,580.86,"2004-2006"
