"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,0,14273094,0,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.04,0.26,0.12,0.04,0.27,0.12,-96.17,-72.58,-88.15,"2020-2021"
1997,49,16129864,0.3,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.18,0.1,0.05,0.2,0.11,-95.34,-80.13,-89.3,"2020-2021"
1998,9,20714198,0.04,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.14,0.09,0.04,0.15,0.09,-95.64,-84.66,-90.84,"2020-2021"
1999,16,25859311,0.06,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.13,0.08,0.05,0.14,0.09,-95.47,-86,-91.35,"2020-2021"
2000,22,30641648,0.07,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.12,0.08,0.05,0.14,0.08,-95.27,-86.49,-91.56,"2020-2021"
2001,32,34847937,0.09,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.12,0.08,0.05,0.13,0.08,-95.42,-86.93,-91.93,"2020-2021"
2002,42,37860565,0.11,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.12,0.08,0.04,0.13,0.08,-95.59,-87.14,-92.03,"2020-2021"
2003,15,41753349,0.04,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.11,0.07,0.04,0.12,0.07,-95.82,-88.05,-92.53,"2020-2021"
2004,15,44344180,0.03,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.1,0.07,0.04,0.12,0.07,-95.87,-88.43,-92.61,"2020-2021"
2005,65,44766459,0.15,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.1,0.07,0.04,0.11,0.07,-96.01,-89.15,-92.92,"2020-2021"
2006,43,45324523,0.09,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.09,0.07,0.04,0.1,0.07,-96.16,-89.73,-93.17,"2020-2021"
2007,13,45842135,0.03,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.04,0.09,0.06,0.04,0.1,0.07,-96.25,-90.02,-93.37,"2020-2021"
2008,17,46326017,0.04,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.04,0.09,0.06,0.04,0.1,0.07,-96.31,-90.04,-93.47,"2020-2021"
2009,32,46759709,0.07,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.04,0.09,0.06,0.04,0.1,0.07,-96.35,-89.94,-93.43,"2020-2021"
2010,28,47144778,0.06,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.04,0.09,0.07,0.04,0.1,0.07,-96.17,-89.51,-93.22,"2020-2021"
2011,22,47523111,0.05,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.1,0.07,0.04,0.11,0.07,-96,-88.73,-92.74,"2020-2021"
2012,13,47896024,0.03,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.05,0.11,0.08,0.04,0.13,0.08,-95.52,-87.47,-91.91,"2020-2021"
2013,14,48216768,0.03,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.06,0.13,0.09,0.05,0.15,0.09,-94.65,-85.5,-90.53,"2020-2021"
2014,26,48574193,0.05,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.08,0.15,0.11,0.07,0.18,0.12,-93.15,-82.45,-88.25,"2020-2021"
2015,65,48948539,0.13,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.11,0.2,0.15,0.1,0.23,0.15,-90.48,-77.25,-84.52,"2020-2021"
2016,55,49329732,0.11,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.16,0.28,0.21,0.14,0.31,0.22,-86.49,-69.47,-78.32,"2020-2021"
2017,164,49669350,0.33,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.23,0.4,0.31,0.22,0.44,0.32,-78.49,-55.84,-68.19,"2020-2021"
2018,334,49976013,0.67,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.35,0.6,0.46,0.33,0.62,0.47,-66.88,-38.35,-53,"2020-2021"
2019,758,50230232,1.51,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.47,0.86,0.65,0.53,0.82,0.67,-46.59,-17.9,-33.17,"2020-2021"
2020,316,50800839,0.62,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.62,1.17,0.86,0.81,0.97,0.89,-19.03,-2.64,-11.1,"2020-2021"
2021,374,50850418,0.74,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.76,1.5,1.07,1.03,1.19,1.11,2.64,19.01,11.09,"2020-2021"
2022,446,51000988,0.87,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.84,2.01,1.32,1.01,1.77,1.37,1.02,77.2,37.47,"2020-2021"
2023,503,51000988,0.99,345,50825628.5,354.85,675.34,490.69,0.7,1.33,0.97,0.86,3.02,1.69,1,2.82,1.77,0.07,181.75,77.06,"2020-2021"
