"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,21,14273094,0.15,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.16,0.27,0.21,0.52,0.89,0.69,-48.26,-10.89,-31.21,"2006-2008"
1997,52,16129864,0.32,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.17,0.26,0.21,0.55,0.85,0.69,-44.82,-14.76,-30.6,"2006-2008"
1998,50,20714198,0.24,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.18,0.25,0.21,0.59,0.83,0.71,-41.09,-17.21,-29.4,"2006-2008"
1999,48,25859311,0.19,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.19,0.25,0.22,0.61,0.84,0.72,-38.96,-16.35,-28.13,"2006-2008"
2000,54,30641648,0.18,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.2,0.26,0.23,0.66,0.87,0.76,-34.25,-12.86,-23.96,"2006-2008"
2001,79,34847937,0.23,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.22,0.27,0.24,0.7,0.91,0.8,-29.72,-9.45,-19.92,"2006-2008"
2002,104,37860565,0.27,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.23,0.28,0.25,0.75,0.93,0.83,-25.21,-6.6,-16.58,"2006-2008"
2003,110,41753349,0.26,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.23,0.28,0.26,0.76,0.92,0.84,-23.69,-7.85,-16.24,"2006-2008"
2004,123,44344180,0.28,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.24,0.28,0.26,0.79,0.92,0.85,-21.09,-8.28,-14.83,"2006-2008"
2005,121,44766459,0.27,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.25,0.3,0.27,0.86,0.95,0.9,-14.47,-5.03,-10.21,"2006-2008"
2006,156,45324523,0.34,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.26,0.31,0.29,0.92,0.97,0.95,-7.66,-2.61,-5.39,"2006-2008"
2007,110,45842135,0.24,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.28,0.33,0.3,1,1,1,0,0,0,"2006-2008"
2008,136,46326017,0.29,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.3,0.35,0.32,1.04,1.09,1.06,3.67,8.76,6.29,"2006-2008"
2009,161,46759709,0.34,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.32,0.38,0.35,1.08,1.18,1.14,8.18,18.41,13.53,"2006-2008"
2010,195,47144778,0.41,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.34,0.4,0.37,1.14,1.29,1.22,13.99,29.31,21.74,"2006-2008"
2011,157,47523111,0.33,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.37,0.43,0.4,1.21,1.41,1.31,20.5,40.74,30.8,"2006-2008"
2012,202,47896024,0.42,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.4,0.47,0.43,1.28,1.53,1.41,28.26,52.85,40.87,"2006-2008"
2013,254,48216768,0.53,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.43,0.5,0.46,1.38,1.67,1.52,38.05,66.69,52.35,"2006-2008"
2014,222,48574193,0.46,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.46,0.55,0.5,1.5,1.82,1.66,49.57,82.01,65.74,"2006-2008"
2015,204,48948539,0.42,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.51,0.59,0.55,1.64,2,1.82,63.69,100.03,81.62,"2006-2008"
2016,254,49329732,0.51,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.57,0.66,0.61,1.79,2.22,2,79.36,121.78,100.42,"2006-2008"
2017,341,49669350,0.69,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.62,0.73,0.68,1.97,2.47,2.22,96.93,146.61,121.57,"2006-2008"
2018,579,49976013,1.16,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.68,0.8,0.74,2.16,2.74,2.44,115.94,174.09,143.95,"2006-2008"
2019,481,50230232,0.96,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.74,0.88,0.81,2.34,2.99,2.66,133.95,198.84,166.44,"2006-2008"
2020,327,50800839,0.64,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.81,0.96,0.88,2.55,3.26,2.89,155.39,225.72,188.67,"2006-2008"
2021,482,50850418,0.95,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.87,1.03,0.95,2.73,3.51,3.12,173.31,250.53,211.62,"2006-2008"
2022,498,51000988,0.98,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.93,1.14,1.02,2.93,3.85,3.36,193.39,285.02,236.19,"2006-2008"
2023,521,51000988,1.02,136,45842135,127.72,151.93,139.65,0.28,0.33,0.3,0.97,1.27,1.11,3.1,4.26,3.65,210.5,325.9,264.71,"2006-2008"
