"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,3367,14273094,23.59,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,22.58,26.48,24.46,1.22,1.45,1.33,21.62,45.32,33.1,"2020-2021"
1997,3960,16129864,24.55,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,20.71,23.1,21.9,1.12,1.27,1.19,11.65,27.38,19.19,"2020-2021"
1998,4022,20714198,19.42,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,18.04,19.68,18.85,0.97,1.08,1.03,-3.33,8.45,2.57,"2020-2021"
1999,3832,25859311,14.82,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,15.71,17.01,16.36,0.84,0.94,0.89,-15.86,-6.29,-10.96,"2020-2021"
2000,4708,30641648,15.36,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,14.52,15.69,15.1,0.78,0.87,0.82,-21.94,-13.45,-17.83,"2020-2021"
2001,4751,34847937,13.63,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,13.52,14.58,14.05,0.73,0.8,0.77,-27.34,-19.54,-23.5,"2020-2021"
2002,5064,37860565,13.38,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.89,13.85,13.38,0.69,0.76,0.73,-30.72,-23.53,-27.2,"2020-2021"
2003,5272,41753349,12.63,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.27,13.15,12.69,0.66,0.72,0.69,-34.42,-27.66,-30.88,"2020-2021"
2004,5686,44344180,12.82,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.43,13.28,12.85,0.67,0.73,0.7,-33.41,-26.64,-30.08,"2020-2021"
2005,5692,44766459,12.71,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.37,13.2,12.79,0.66,0.73,0.7,-33.75,-27.13,-30.44,"2020-2021"
2006,5770,45324523,12.73,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.32,13.15,12.73,0.66,0.73,0.69,-33.8,-27.37,-30.72,"2020-2021"
2007,5871,45842135,12.81,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.38,13.22,12.77,0.66,0.73,0.7,-33.57,-27.28,-30.46,"2020-2021"
2008,5859,46326017,12.65,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.57,13.43,12.99,0.68,0.74,0.71,-32.41,-25.93,-29.27,"2020-2021"
2009,6066,46759709,12.97,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,12.95,13.83,13.39,0.69,0.76,0.73,-30.5,-23.8,-27.13,"2020-2021"
2010,6375,47144778,13.52,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,13.44,14.34,13.9,0.72,0.79,0.76,-27.79,-20.61,-24.33,"2020-2021"
2011,6785,47523111,14.28,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,14.03,14.96,14.47,0.75,0.83,0.79,-24.86,-17.28,-21.22,"2020-2021"
2012,7691,47896024,16.06,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,14.58,15.53,15.05,0.78,0.86,0.82,-22.01,-14.19,-18.08,"2020-2021"
2013,7693,48216768,15.96,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,15.17,16.17,15.67,0.81,0.89,0.85,-18.81,-10.68,-14.69,"2020-2021"
2014,7662,48574193,15.77,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,15.82,16.9,16.35,0.85,0.93,0.89,-15.29,-6.52,-11.01,"2020-2021"
2015,8492,48948539,17.35,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,16.51,17.65,17.08,0.88,0.98,0.93,-11.55,-2.13,-7.05,"2020-2021"
2016,8631,49329732,17.5,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,17.16,18.37,17.75,0.92,1.01,0.97,-8.22,1.48,-3.46,"2020-2021"
2017,9515,49669350,19.16,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,17.56,18.79,18.19,0.95,1.04,0.99,-5.5,3.65,-1.06,"2020-2021"
2018,9831,49976013,19.67,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,17.76,18.9,18.31,0.96,1.03,1,-3.9,3.24,-0.38,"2020-2021"
2019,9798,50230232,19.51,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,17.68,18.82,18.23,0.97,1.01,0.99,-2.83,1.25,-0.78,"2020-2021"
2020,7258,50800839,14.29,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,17.6,18.87,18.23,0.99,1,0.99,-1.48,-0.09,-0.79,"2020-2021"
2021,9139,50850418,17.97,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,17.84,19.15,18.52,1,1.01,1.01,0.09,1.48,0.79,"2020-2021"
2022,9806,51000988,19.23,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,18.51,19.91,19.2,1.02,1.07,1.05,1.64,7.38,4.55,"2020-2021"
2023,10939,51000988,21.45,8198.5,50825628.5,9022.71,9666.72,9338.1,17.75,19.02,18.37,19.26,21.42,20.28,1.04,1.17,1.1,4.27,16.8,10.34,"2020-2021"
