"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,3367,14273094,23.59,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,22.58,26.48,24.46,1.75,2.08,1.91,74.83,108.36,91.45,"2006-2008"
1997,3960,16129864,24.55,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,20.71,23.1,21.9,1.61,1.83,1.71,60.51,82.66,71.48,"2006-2008"
1998,4022,20714198,19.42,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,18.04,19.68,18.85,1.4,1.56,1.48,39.6,56.23,47.55,"2006-2008"
1999,3832,25859311,14.82,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,15.71,17.01,16.36,1.21,1.35,1.28,21.04,34.54,28.05,"2006-2008"
2000,4708,30641648,15.36,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,14.52,15.69,15.1,1.12,1.24,1.18,12.19,24.28,18.13,"2006-2008"
2001,4751,34847937,13.63,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,13.52,14.58,14.05,1.05,1.16,1.1,4.58,15.55,9.96,"2006-2008"
2002,5064,37860565,13.38,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.89,13.85,13.38,1,1.1,1.05,-0.2,9.52,4.64,"2006-2008"
2003,5272,41753349,12.63,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.27,13.15,12.69,0.95,1.04,0.99,-4.74,3.55,-0.66,"2006-2008"
2004,5686,44344180,12.82,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.43,13.28,12.85,0.97,1.04,1.01,-3.06,4.22,0.55,"2006-2008"
2005,5692,44766459,12.71,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.37,13.2,12.79,0.97,1.03,1,-2.61,2.78,0.04,"2006-2008"
2006,5770,45324523,12.73,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.32,13.15,12.73,0.98,1.01,1,-1.55,1.14,-0.35,"2006-2008"
2007,5871,45842135,12.81,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.38,13.22,12.77,1,1,1,0,0,0,"2006-2008"
2008,5859,46326017,12.65,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.57,13.43,12.99,1,1.03,1.02,0.35,3.14,1.69,"2006-2008"
2009,6066,46759709,12.97,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,12.95,13.83,13.39,1.02,1.07,1.05,2.07,7.45,4.77,"2006-2008"
2010,6375,47144778,13.52,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,13.44,14.34,13.9,1.05,1.13,1.09,4.88,12.62,8.8,"2006-2008"
2011,6785,47523111,14.28,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,14.03,14.96,14.47,1.08,1.18,1.13,8.34,17.91,13.27,"2006-2008"
2012,7691,47896024,16.06,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,14.58,15.53,15.05,1.13,1.23,1.18,12.51,23.22,17.79,"2006-2008"
2013,7693,48216768,15.96,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,15.17,16.17,15.67,1.17,1.29,1.23,17.18,28.69,22.65,"2006-2008"
2014,7662,48574193,15.77,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,15.82,16.9,16.35,1.22,1.34,1.28,21.98,34.15,28,"2006-2008"
2015,8492,48948539,17.35,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,16.51,17.65,17.08,1.27,1.4,1.34,27.32,40.24,33.7,"2006-2008"
2016,8631,49329732,17.5,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,17.16,18.37,17.75,1.32,1.46,1.39,32.2,45.96,38.89,"2006-2008"
2017,9515,49669350,19.16,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,17.56,18.79,18.19,1.35,1.49,1.42,35.22,49.34,42.33,"2006-2008"
2018,9831,49976013,19.67,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,17.76,18.9,18.31,1.37,1.5,1.43,36.61,50.15,43.24,"2006-2008"
2019,9798,50230232,19.51,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,17.68,18.82,18.23,1.36,1.49,1.43,36.05,48.91,42.63,"2006-2008"
2020,7258,50800839,14.29,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,17.6,18.87,18.23,1.36,1.49,1.43,36.12,49.05,42.63,"2006-2008"
2021,9139,50850418,17.97,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,17.84,19.15,18.52,1.38,1.52,1.45,38.27,51.64,44.92,"2006-2008"
2022,9806,51000988,19.23,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,18.51,19.91,19.2,1.43,1.58,1.5,43.37,58.06,50.3,"2006-2008"
2023,10939,51000988,21.45,5859,45842135,5672.65,6058.06,5856.62,12.37,13.22,12.78,19.26,21.42,20.28,1.49,1.69,1.59,48.58,69.05,58.68,"2006-2008"
