"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,2064,14273094,14.46,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,12.47,14.55,13.41,0.81,0.97,0.89,-18.96,-3.23,-11.34,"2004-2006"
1997,2186,16129864,13.55,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,12.85,14.47,13.61,0.84,0.97,0.9,-16.18,-3.35,-10.04,"2004-2006"
1998,2820,20714198,13.61,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,13.51,14.83,14.18,0.88,0.99,0.94,-11.87,-0.66,-6.34,"2004-2006"
1999,4155,25859311,16.07,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.01,15.38,14.65,0.91,1.02,0.97,-8.81,2.45,-3.27,"2004-2006"
2000,4315,30641648,14.08,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.38,15.66,14.98,0.94,1.05,0.99,-6.07,4.63,-1.09,"2004-2006"
2001,5240,34847937,15.04,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.52,15.76,15.11,0.95,1.05,1,-4.89,4.98,-0.25,"2004-2006"
2002,6149,37860565,16.24,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.58,15.78,15.14,0.96,1.05,1,-3.81,4.57,-0.09,"2004-2006"
2003,6038,41753349,14.46,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.57,15.72,15.12,0.97,1.03,1,-2.77,3.1,-0.22,"2004-2006"
2004,6498,44344180,14.65,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.56,15.67,15.08,0.98,1.01,1,-1.61,0.95,-0.41,"2004-2006"
2005,6504,44766459,14.53,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.57,15.72,15.14,1,1,1,-0.07,0,0,"2004-2006"
2006,6689,45324523,14.76,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.66,15.86,15.26,0.99,1.02,1.01,-0.8,2.19,0.8,"2004-2006"
2007,6828,45842135,14.89,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.84,16.05,15.44,0.99,1.05,1.02,-0.72,4.64,1.99,"2004-2006"
2008,7459,46326017,16.1,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.1,16.27,15.67,1,1.07,1.04,-0.21,7.25,3.5,"2004-2006"
2009,7029,46759709,15.03,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.33,16.52,15.91,1.01,1.1,1.05,0.62,9.95,5.04,"2004-2006"
2010,8274,47144778,17.55,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.51,16.76,16.1,1.01,1.12,1.06,1.22,12.08,6.27,"2004-2006"
2011,7815,47523111,16.44,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.6,16.88,16.21,1.02,1.13,1.07,1.73,13.09,6.99,"2004-2006"
2012,7952,47896024,16.6,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.65,16.87,16.24,1.02,1.13,1.07,1.99,13.25,7.22,"2004-2006"
2013,7390,48216768,15.33,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.63,16.85,16.23,1.02,1.13,1.07,1.62,12.86,7.2,"2004-2006"
2014,7557,48574193,15.56,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.59,16.86,16.24,1.02,1.13,1.07,1.75,13.28,7.22,"2004-2006"
2015,8143,48948539,16.64,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.65,16.92,16.27,1.02,1.14,1.07,1.96,13.63,7.43,"2004-2006"
2016,8214,49329732,16.65,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.69,16.93,16.3,1.02,1.14,1.08,1.92,13.61,7.69,"2004-2006"
2017,7941,49669350,15.99,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.66,16.91,16.29,1.02,1.14,1.08,1.82,13.79,7.64,"2004-2006"
2018,9136,49976013,18.28,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.61,16.88,16.2,1.01,1.13,1.07,1.05,13.13,7,"2004-2006"
2019,8595,50230232,17.11,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.42,16.67,16.02,1,1.12,1.06,0.18,12.05,5.79,"2004-2006"
2020,6725,50800839,13.24,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,15.18,16.4,15.76,0.99,1.1,1.04,-1.4,10.06,4.08,"2004-2006"
2021,7326,50850418,14.41,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.89,16.11,15.49,0.97,1.08,1.02,-3.21,7.96,2.3,"2004-2006"
2022,8281,51000988,16.24,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.58,15.99,15.25,0.95,1.07,1.01,-4.97,6.84,0.73,"2004-2006"
2023,7664,51000988,15.03,6504,44766459,6526.24,7037.15,6778.58,14.58,15.72,15.14,14.18,16.02,15.05,0.93,1.07,0.99,-7.46,6.63,-0.64,"2004-2006"
