"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,1269,14273094,8.89,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,6.37,11.2,8.58,1.28,2.38,1.78,27.72,137.83,78.18,"2016-2018"
1997,1269,16129864,7.87,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,6.69,10.27,8.34,1.32,2.2,1.73,32.18,119.62,73.2,"2016-2018"
1998,1480,20714198,7.14,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,5.89,8.42,7.03,1.16,1.81,1.46,16.33,80.81,46.29,"2016-2018"
1999,966,25859311,3.74,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,6.24,9.19,7.65,1.24,1.97,1.59,24.48,97.46,58.94,"2016-2018"
2000,2350,30641648,7.67,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,6.43,9.03,7.66,1.26,1.93,1.59,26.1,93.25,59,"2016-2018"
2001,2219,34847937,6.37,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,6.4,8.63,7.45,1.27,1.87,1.55,26.88,86.55,54.68,"2016-2018"
2002,4113,37860565,10.86,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,6.05,8.08,7.03,1.18,1.74,1.46,18.31,73.57,46.11,"2016-2018"
2003,3039,41753349,7.28,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,5.82,7.62,6.61,1.14,1.65,1.38,14.46,64.68,37.56,"2016-2018"
2004,2248,44344180,5.07,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,5.52,7.14,6.26,1.08,1.55,1.3,7.89,55.16,30.05,"2016-2018"
2005,2095,44766459,4.68,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,5.16,6.7,5.88,1.01,1.46,1.22,1.24,46.01,22.3,"2016-2018"
2006,2765,45324523,6.1,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.91,6.4,5.59,0.95,1.38,1.16,-4.57,38.29,16.31,"2016-2018"
2007,2869,45842135,6.26,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.71,6.19,5.38,0.93,1.34,1.12,-6.67,34.42,11.86,"2016-2018"
2008,3043,46326017,6.57,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.55,6,5.21,0.9,1.29,1.08,-10.32,28.66,8.37,"2016-2018"
2009,1854,46759709,3.96,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.42,5.83,5.07,0.88,1.25,1.05,-11.83,24.86,5.44,"2016-2018"
2010,1779,47144778,3.77,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.32,5.69,4.96,0.87,1.22,1.03,-12.59,21.92,3.17,"2016-2018"
2011,1541,47523111,3.24,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.3,5.64,4.89,0.87,1.19,1.02,-13.32,19.43,1.69,"2016-2018"
2012,2187,47896024,4.57,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.27,5.58,4.86,0.87,1.17,1.01,-12.89,17.46,1.05,"2016-2018"
2013,2511,48216768,5.21,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.28,5.57,4.86,0.88,1.16,1.01,-11.53,15.79,1.1,"2016-2018"
2014,2905,48574193,5.98,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.28,5.58,4.89,0.91,1.14,1.02,-8.76,14.04,1.57,"2016-2018"
2015,3175,48948539,6.49,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.31,5.58,4.9,0.94,1.11,1.02,-5.77,11.17,1.84,"2016-2018"
2016,2936,49329732,5.95,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.29,5.52,4.88,0.97,1.06,1.01,-2.75,6.22,1.34,"2016-2018"
2017,2141,49669350,4.31,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.27,5.45,4.81,1,1.01,1,-0.19,0.78,0,"2016-2018"
2018,2456,49976013,4.91,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.21,5.34,4.73,0.94,1.02,0.98,-6.3,2.2,-1.73,"2016-2018"
2019,2429,50230232,4.84,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.11,5.25,4.65,0.88,1.05,0.97,-11.83,4.52,-3.08,"2016-2018"
2020,1561,50800839,3.07,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.05,5.25,4.64,0.85,1.08,0.97,-15.16,7.71,-3.41,"2016-2018"
2021,1778,50850418,3.5,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.07,5.37,4.7,0.84,1.12,0.98,-16.22,12.38,-2.13,"2016-2018"
2022,2486,51000988,4.87,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.18,5.69,4.88,0.84,1.19,1.02,-16.11,19.28,1.67,"2016-2018"
2023,2894,51000988,5.67,2456,49669350,2120.46,2700.8,2390.25,4.27,5.44,4.81,4.26,6.3,5.2,0.86,1.33,1.08,-14.18,32.72,8.21,"2016-2018"
