"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,3367,14273094,23.59,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,22.58,26.48,24.46,1.75,2.09,1.91,75.35,108.8,91.41,"2004-2006"
1997,3960,16129864,24.55,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,20.71,23.1,21.9,1.6,1.82,1.71,60.11,82.18,71.35,"2004-2006"
1998,4022,20714198,19.42,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,18.04,19.68,18.85,1.4,1.56,1.47,39.5,55.78,47.4,"2004-2006"
1999,3832,25859311,14.82,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,15.71,17.01,16.36,1.22,1.34,1.28,21.51,34.45,27.92,"2004-2006"
2000,4708,30641648,15.36,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,14.52,15.69,15.1,1.12,1.24,1.18,12.5,23.98,18.03,"2004-2006"
2001,4751,34847937,13.63,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,13.52,14.58,14.05,1.05,1.15,1.1,4.98,14.95,9.87,"2004-2006"
2002,5064,37860565,13.38,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.89,13.85,13.38,1.01,1.09,1.05,0.68,8.68,4.59,"2004-2006"
2003,5272,41753349,12.63,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.27,13.15,12.69,0.96,1.02,0.99,-3.56,1.96,-0.7,"2004-2006"
2004,5686,44344180,12.82,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.43,13.28,12.85,0.99,1.02,1,-1.06,1.92,0.5,"2004-2006"
2005,5692,44766459,12.71,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.37,13.2,12.79,1,1,1,-0.46,0,0,"2004-2006"
2006,5770,45324523,12.73,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.32,13.15,12.73,0.98,1.01,1,-1.78,1,-0.43,"2004-2006"
2007,5871,45842135,12.81,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.38,13.22,12.77,0.97,1.03,1,-2.74,2.63,-0.12,"2004-2006"
2008,5859,46326017,12.65,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.57,13.43,12.99,0.98,1.05,1.02,-2.17,5.24,1.56,"2004-2006"
2009,6066,46759709,12.97,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,12.95,13.83,13.39,1.01,1.09,1.05,0.6,9.36,4.68,"2004-2006"
2010,6375,47144778,13.52,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,13.44,14.34,13.9,1.04,1.14,1.09,3.92,13.5,8.72,"2004-2006"
2011,6785,47523111,14.28,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,14.03,14.96,14.47,1.08,1.18,1.13,8.08,18.36,13.16,"2004-2006"
2012,7691,47896024,16.06,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,14.58,15.53,15.05,1.13,1.23,1.18,12.54,23.32,17.69,"2004-2006"
2013,7693,48216768,15.96,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,15.17,16.17,15.67,1.17,1.28,1.23,16.81,28.17,22.53,"2004-2006"
2014,7662,48574193,15.77,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,15.82,16.9,16.35,1.22,1.34,1.28,21.84,34.01,27.84,"2004-2006"
2015,8492,48948539,17.35,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,16.51,17.65,17.08,1.27,1.4,1.34,27.3,40.07,33.55,"2004-2006"
2016,8631,49329732,17.5,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,17.16,18.37,17.75,1.32,1.45,1.39,31.89,45.32,38.79,"2004-2006"
2017,9515,49669350,19.16,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,17.56,18.79,18.19,1.36,1.49,1.42,35.77,49.23,42.21,"2004-2006"
2018,9831,49976013,19.67,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,17.76,18.9,18.31,1.37,1.5,1.43,36.83,49.82,43.13,"2004-2006"
2019,9798,50230232,19.51,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,17.68,18.82,18.23,1.36,1.49,1.43,36.41,49.35,42.55,"2004-2006"
2020,7258,50800839,14.29,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,17.6,18.87,18.23,1.36,1.49,1.43,35.62,49.21,42.55,"2004-2006"
2021,9139,50850418,17.97,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,17.84,19.15,18.52,1.38,1.52,1.45,38.17,52.09,44.83,"2004-2006"
2022,9806,51000988,19.23,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,18.51,19.91,19.2,1.43,1.58,1.5,43.03,57.8,50.15,"2004-2006"
2023,10939,51000988,21.45,5692,44766459,5538.07,5904.3,5725.61,12.37,13.19,12.79,19.26,21.42,20.28,1.49,1.68,1.59,48.66,68.46,58.51,"2004-2006"
