"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,21,14273094,0.15,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.16,0.27,0.21,0.58,0.99,0.76,-42.4,-1.34,-23.54,"2004-2006"
1997,52,16129864,0.32,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.17,0.26,0.21,0.62,0.95,0.77,-37.86,-5.05,-22.8,"2004-2006"
1998,50,20714198,0.24,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.18,0.25,0.21,0.66,0.92,0.79,-33.59,-8.31,-21.48,"2004-2006"
1999,48,25859311,0.19,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.19,0.25,0.22,0.69,0.92,0.8,-31.08,-7.81,-20.03,"2004-2006"
2000,54,30641648,0.18,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.2,0.26,0.23,0.74,0.95,0.84,-25.6,-4.68,-15.5,"2004-2006"
2001,79,34847937,0.23,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.22,0.27,0.24,0.8,0.99,0.89,-19.66,-1.09,-10.9,"2004-2006"
2002,104,37860565,0.27,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.23,0.28,0.25,0.85,1,0.93,-14.98,0.4,-7.11,"2004-2006"
2003,110,41753349,0.26,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.23,0.28,0.26,0.88,0.99,0.93,-12.02,-1.41,-6.77,"2004-2006"
2004,123,44344180,0.28,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.24,0.28,0.26,0.92,0.98,0.95,-7.84,-2.42,-5.18,"2004-2006"
2005,121,44766459,0.27,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.25,0.3,0.27,1,1,1,0,0,0,"2004-2006"
2006,156,45324523,0.34,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.26,0.31,0.29,1.02,1.08,1.05,2.33,8.09,5.38,"2004-2006"
2007,110,45842135,0.24,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.28,0.33,0.3,1.05,1.17,1.11,5.29,16.92,11.37,"2004-2006"
2008,136,46326017,0.29,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.3,0.35,0.32,1.09,1.26,1.18,9.34,26.41,18.37,"2004-2006"
2009,161,46759709,0.34,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.32,0.38,0.35,1.15,1.36,1.26,14.9,36.43,26.38,"2004-2006"
2010,195,47144778,0.41,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.34,0.4,0.37,1.22,1.48,1.35,22.11,47.57,35.46,"2004-2006"
2011,157,47523111,0.33,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.37,0.43,0.4,1.3,1.6,1.46,30.12,59.8,45.56,"2004-2006"
2012,202,47896024,0.42,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.4,0.47,0.43,1.4,1.74,1.57,39.55,73.65,56.78,"2004-2006"
2013,254,48216768,0.53,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.43,0.5,0.46,1.5,1.89,1.7,50.5,89.1,69.55,"2004-2006"
2014,222,48574193,0.46,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.46,0.55,0.5,1.63,2.06,1.84,63.45,106.15,84.45,"2004-2006"
2015,204,48948539,0.42,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.51,0.59,0.55,1.8,2.26,2.02,79.53,125.89,102.14,"2004-2006"
2016,254,49329732,0.51,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.57,0.66,0.61,1.98,2.48,2.23,97.73,148.22,123.11,"2004-2006"
2017,341,49669350,0.69,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.62,0.73,0.68,2.18,2.75,2.47,118.46,175.15,146.81,"2004-2006"
2018,579,49976013,1.16,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.68,0.8,0.74,2.41,3.05,2.72,140.83,204.93,171.54,"2004-2006"
2019,481,50230232,0.96,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.74,0.88,0.81,2.62,3.33,2.97,162.22,233.39,196.51,"2004-2006"
2020,327,50800839,0.64,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.81,0.96,0.88,2.83,3.61,3.21,182.98,261.26,221.27,"2004-2006"
2021,482,50850418,0.95,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.87,1.03,0.95,3.04,3.91,3.47,203.77,291.05,246.83,"2004-2006"
2022,498,51000988,0.98,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.93,1.14,1.02,3.22,4.27,3.74,222.18,327.24,274.36,"2004-2006"
2023,521,51000988,1.02,123,44766459,111.81,133.65,122.56,0.25,0.3,0.27,0.97,1.27,1.11,3.44,4.76,4.06,243.86,376.07,306.26,"2004-2006"
