"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,374,14273094,2.62,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,2.08,3.16,2.57,0.38,0.58,0.47,-62.2,-41.59,-52.93,"2020-2021"
1997,337,16129864,2.09,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,2.09,2.82,2.42,0.37,0.52,0.44,-62.71,-47.94,-55.64,"2020-2021"
1998,491,20714198,2.37,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,2,2.51,2.25,0.36,0.47,0.41,-64.35,-53.07,-58.8,"2020-2021"
1999,502,25859311,1.94,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.8,2.2,1.99,0.32,0.41,0.36,-68.08,-58.94,-63.5,"2020-2021"
2000,680,30641648,2.22,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.67,2,1.83,0.3,0.37,0.33,-70.4,-62.64,-66.53,"2020-2021"
2001,611,34847937,1.75,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.56,1.86,1.7,0.28,0.35,0.31,-72.34,-65.34,-68.89,"2020-2021"
2002,699,37860565,1.85,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.5,1.77,1.62,0.27,0.33,0.3,-73.36,-66.94,-70.34,"2020-2021"
2003,513,41753349,1.23,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.41,1.66,1.54,0.25,0.31,0.28,-74.65,-68.69,-71.91,"2020-2021"
2004,515,44344180,1.16,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.39,1.63,1.5,0.25,0.3,0.28,-75.3,-69.52,-72.49,"2020-2021"
2005,607,44766459,1.36,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.4,1.63,1.52,0.25,0.31,0.28,-75.02,-69.24,-72.22,"2020-2021"
2006,828,45324523,1.83,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.45,1.68,1.56,0.26,0.32,0.29,-74.35,-68.45,-71.41,"2020-2021"
2007,839,45842135,1.83,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.52,1.76,1.64,0.27,0.33,0.3,-73.09,-66.94,-70.07,"2020-2021"
2008,775,46326017,1.67,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.61,1.87,1.74,0.29,0.35,0.32,-71.49,-64.88,-68.21,"2020-2021"
2009,755,46759709,1.61,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.74,2.02,1.87,0.31,0.38,0.34,-69.31,-62.18,-65.82,"2020-2021"
2010,910,47144778,1.93,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,1.89,2.18,2.04,0.34,0.41,0.37,-66.45,-58.74,-62.77,"2020-2021"
2011,999,47523111,2.1,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,2.09,2.41,2.25,0.37,0.45,0.41,-63,-54.64,-58.82,"2020-2021"
2012,1336,47896024,2.79,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,2.36,2.71,2.53,0.42,0.51,0.46,-58.24,-49.02,-53.68,"2020-2021"
2013,1373,48216768,2.85,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,2.7,3.1,2.9,0.48,0.58,0.53,-51.95,-41.58,-47.04,"2020-2021"
2014,1422,48574193,2.93,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,3.12,3.57,3.35,0.56,0.68,0.61,-44.47,-32.46,-38.8,"2020-2021"
2015,1784,48948539,3.64,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,3.6,4.13,3.86,0.64,0.78,0.71,-36.31,-22.06,-29.43,"2020-2021"
2016,2449,49329732,4.96,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,4.07,4.69,4.37,0.72,0.88,0.8,-28.09,-12.23,-20.17,"2020-2021"
2017,2589,49669350,5.21,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,4.45,5.15,4.79,0.8,0.96,0.88,-20.33,-4.21,-12.4,"2020-2021"
2018,2915,49976013,5.83,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,4.73,5.45,5.08,0.86,1,0.93,-13.5,-0.02,-7.01,"2020-2021"
2019,3144,50230232,6.26,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,4.89,5.62,5.26,0.92,1.01,0.96,-7.97,0.63,-3.68,"2020-2021"
2020,1829,50800839,3.6,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,5.02,5.79,5.39,0.97,1,0.99,-2.89,0.21,-1.33,"2020-2021"
2021,2588,50850418,5.09,2208.5,50825628.5,2579.79,2977.77,2777.7,5.08,5.86,5.47,5.13,5.96,5.54,1,1.03,1.01,-0.21,2.89,1.33,"2020-2021"
