"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,21,14273094,0.15,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.16,0.27,0.21,0.17,0.3,0.23,-82.72,-70.43,-77.02,"2020-2021"
1997,52,16129864,0.32,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.17,0.26,0.21,0.18,0.28,0.23,-81.79,-71.78,-76.82,"2020-2021"
1998,50,20714198,0.24,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.18,0.25,0.21,0.2,0.28,0.24,-80.45,-72.23,-76.48,"2020-2021"
1999,48,25859311,0.19,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.19,0.25,0.22,0.2,0.28,0.24,-79.94,-72.05,-76.03,"2020-2021"
2000,54,30641648,0.18,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.2,0.26,0.23,0.22,0.29,0.25,-78.34,-70.66,-74.65,"2020-2021"
2001,79,34847937,0.23,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.22,0.27,0.24,0.23,0.3,0.27,-77.12,-69.52,-73.31,"2020-2021"
2002,104,37860565,0.27,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.23,0.28,0.25,0.24,0.32,0.28,-75.88,-68.35,-72.19,"2020-2021"
2003,110,41753349,0.26,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.23,0.28,0.26,0.24,0.32,0.28,-75.62,-68.39,-72.06,"2020-2021"
2004,123,44344180,0.28,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.24,0.28,0.26,0.25,0.32,0.28,-75.06,-67.93,-71.58,"2020-2021"
2005,121,44766459,0.27,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.25,0.3,0.27,0.26,0.34,0.3,-73.64,-66.25,-70.06,"2020-2021"
2006,156,45324523,0.34,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.26,0.31,0.29,0.28,0.35,0.32,-72.19,-64.56,-68.47,"2020-2021"
2007,110,45842135,0.24,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.28,0.33,0.3,0.29,0.37,0.33,-70.77,-62.66,-66.69,"2020-2021"
2008,136,46326017,0.29,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.3,0.35,0.32,0.31,0.4,0.35,-68.96,-60.32,-64.6,"2020-2021"
2009,161,46759709,0.34,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.32,0.38,0.35,0.33,0.42,0.38,-66.92,-57.81,-62.18,"2020-2021"
2010,195,47144778,0.41,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.34,0.4,0.37,0.36,0.45,0.41,-64.25,-54.62,-59.46,"2020-2021"
2011,157,47523111,0.33,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.37,0.43,0.4,0.39,0.49,0.44,-61.29,-51.11,-56.44,"2020-2021"
2012,202,47896024,0.42,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.4,0.47,0.43,0.42,0.53,0.47,-58.23,-47.38,-53.11,"2020-2021"
2013,254,48216768,0.53,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.43,0.5,0.46,0.45,0.57,0.51,-55.05,-43.44,-49.31,"2020-2021"
2014,222,48574193,0.46,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.46,0.55,0.5,0.49,0.61,0.55,-50.8,-38.75,-44.82,"2020-2021"
2015,204,48948539,0.42,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.51,0.59,0.55,0.55,0.67,0.61,-45.45,-33.29,-39.46,"2020-2021"
2016,254,49329732,0.51,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.57,0.66,0.61,0.61,0.73,0.67,-39.34,-27.48,-33.2,"2020-2021"
2017,341,49669350,0.69,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.62,0.73,0.68,0.68,0.8,0.74,-31.66,-20.26,-26.12,"2020-2021"
2018,579,49976013,1.16,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.68,0.8,0.74,0.76,0.87,0.81,-23.64,-13.25,-18.74,"2020-2021"
2019,481,50230232,0.96,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.74,0.88,0.81,0.85,0.93,0.89,-14.96,-7.13,-11.33,"2020-2021"
2020,327,50800839,0.64,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.81,0.96,0.88,0.95,0.98,0.96,-5.41,-2.12,-3.85,"2020-2021"
2021,482,50850418,0.95,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.87,1.03,0.95,1.02,1.05,1.04,2.12,5.4,3.85,"2020-2021"
2022,498,51000988,0.98,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.93,1.14,1.02,1.06,1.18,1.12,6.2,18.14,12.15,"2020-2021"
2023,521,51000988,1.02,404.5,50825628.5,425.95,504.24,464.79,0.84,0.99,0.91,0.97,1.27,1.11,1.1,1.33,1.22,10.1,33.3,21.77,"2020-2021"
