"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,374,14273094,2.62,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,2.08,3.16,2.57,1.22,1.94,1.57,22.17,94.34,57.18,"2006-2008"
1997,337,16129864,2.09,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,2.09,2.82,2.42,1.24,1.75,1.48,23.51,74.96,48.32,"2006-2008"
1998,491,20714198,2.37,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,2,2.51,2.25,1.19,1.58,1.38,19.24,58.09,37.64,"2006-2008"
1999,502,25859311,1.94,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.8,2.2,1.99,1.07,1.39,1.22,7.32,38.76,21.9,"2006-2008"
2000,680,30641648,2.22,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.67,2,1.83,0.99,1.26,1.12,-1.18,25.62,11.88,"2006-2008"
2001,611,34847937,1.75,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.56,1.86,1.7,0.93,1.16,1.04,-6.83,16.47,3.92,"2006-2008"
2002,699,37860565,1.85,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.5,1.77,1.62,0.9,1.1,0.99,-10.36,9.64,-0.9,"2006-2008"
2003,513,41753349,1.23,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.41,1.66,1.54,0.86,1.02,0.94,-14.37,2.17,-6.16,"2006-2008"
2004,515,44344180,1.16,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.39,1.63,1.5,0.85,0.99,0.92,-14.68,-1.17,-8.14,"2006-2008"
2005,607,44766459,1.36,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.4,1.63,1.52,0.88,0.98,0.93,-12.23,-2.2,-7.18,"2006-2008"
2006,828,45324523,1.83,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.45,1.68,1.56,0.93,0.98,0.96,-7.3,-1.73,-4.46,"2006-2008"
2007,839,45842135,1.83,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.52,1.76,1.64,1,1,1,0,0,0,"2006-2008"
2008,775,46326017,1.67,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.61,1.87,1.74,1.03,1.09,1.06,3.29,9.24,6.15,"2006-2008"
2009,755,46759709,1.61,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.74,2.02,1.87,1.08,1.2,1.14,8.47,20.08,14.15,"2006-2008"
2010,910,47144778,1.93,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,1.89,2.18,2.04,1.16,1.33,1.24,15.84,33.03,24.35,"2006-2008"
2011,999,47523111,2.1,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,2.09,2.41,2.25,1.26,1.49,1.38,26.38,49.28,37.61,"2006-2008"
2012,1336,47896024,2.79,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,2.36,2.71,2.53,1.41,1.69,1.55,40.52,69.26,54.85,"2006-2008"
2013,1373,48216768,2.85,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,2.7,3.1,2.9,1.6,1.95,1.77,60.32,94.6,77.11,"2006-2008"
2014,1422,48574193,2.93,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,3.12,3.57,3.35,1.85,2.26,2.05,84.83,125.76,104.64,"2006-2008"
2015,1784,48948539,3.64,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,3.6,4.13,3.86,2.13,2.61,2.36,112.97,161.01,135.77,"2006-2008"
2016,2449,49329732,4.96,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,4.07,4.69,4.37,2.39,2.96,2.67,139.22,196.07,166.59,"2006-2008"
2017,2589,49669350,5.21,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,4.45,5.15,4.79,2.62,3.26,2.93,162.25,225.95,192.54,"2006-2008"
2018,2915,49976013,5.83,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,4.73,5.45,5.08,2.79,3.45,3.11,178.87,245.01,210.66,"2006-2008"
2019,3144,50230232,6.26,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,4.89,5.62,5.26,2.87,3.54,3.22,186.84,253.65,221.66,"2006-2008"
2020,1829,50800839,3.6,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,5.02,5.79,5.39,2.97,3.65,3.3,197.32,264.98,229.59,"2006-2008"
2021,2588,50850418,5.09,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,5.13,5.96,5.54,3.04,3.75,3.39,203.87,275.29,238.61,"2006-2008"
2022,2892,51000988,5.67,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,5.27,6.26,5.75,3.13,3.93,3.51,213.36,293.44,251.23,"2006-2008"
2023,3150,51000988,6.18,828,45842135,695.57,806.02,750.72,1.52,1.76,1.64,5.37,6.76,6.06,3.22,4.23,3.7,222.31,323.48,269.76,"2006-2008"
