"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,2064,14273094,14.46,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,12.47,14.55,13.41,0.79,0.94,0.86,-21.03,-6.18,-14.13,"2020-2021"
1997,2186,16129864,13.55,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,12.85,14.47,13.61,0.81,0.93,0.87,-19.02,-6.52,-12.85,"2020-2021"
1998,2820,20714198,13.61,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,13.51,14.83,14.18,0.85,0.97,0.91,-14.54,-3.44,-9.25,"2020-2021"
1999,4155,25859311,16.07,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.01,15.38,14.65,0.88,0.99,0.94,-11.96,-0.59,-6.27,"2020-2021"
2000,4315,30641648,14.08,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.38,15.66,14.98,0.9,1.01,0.96,-9.73,1.48,-4.13,"2020-2021"
2001,5240,34847937,15.04,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.52,15.76,15.11,0.92,1.02,0.97,-8.48,2.27,-3.26,"2020-2021"
2002,6149,37860565,16.24,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.58,15.78,15.14,0.92,1.03,0.97,-7.95,2.71,-3.09,"2020-2021"
2003,6038,41753349,14.46,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.57,15.72,15.12,0.92,1.02,0.97,-8.37,2.07,-3.22,"2020-2021"
2004,6498,44344180,14.65,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.56,15.67,15.08,0.91,1.01,0.97,-8.82,1.47,-3.45,"2020-2021"
2005,6504,44766459,14.53,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.57,15.72,15.14,0.92,1.02,0.97,-8.23,2.33,-3.12,"2020-2021"
2006,6689,45324523,14.76,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.66,15.86,15.26,0.92,1.03,0.98,-7.59,3.13,-2.36,"2020-2021"
2007,6828,45842135,14.89,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.84,16.05,15.44,0.93,1.04,0.99,-6.61,4.28,-1.2,"2020-2021"
2008,7459,46326017,16.1,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.1,16.27,15.67,0.95,1.06,1,-5.15,5.7,0.28,"2020-2021"
2009,7029,46759709,15.03,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.33,16.52,15.91,0.96,1.07,1.02,-3.5,7.34,1.86,"2020-2021"
2010,8274,47144778,17.55,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.51,16.76,16.1,0.98,1.09,1.03,-2.48,8.69,3.03,"2020-2021"
2011,7815,47523111,16.44,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.6,16.88,16.21,0.98,1.1,1.04,-1.52,9.84,3.72,"2020-2021"
2012,7952,47896024,16.6,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.65,16.87,16.24,0.99,1.1,1.04,-1.47,9.61,3.94,"2020-2021"
2013,7390,48216768,15.33,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.63,16.85,16.23,0.98,1.09,1.04,-1.82,9.33,3.89,"2020-2021"
2014,7557,48574193,15.56,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.59,16.86,16.24,0.98,1.1,1.04,-1.63,9.65,3.92,"2020-2021"
2015,8143,48948539,16.64,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.65,16.92,16.27,0.98,1.09,1.04,-1.56,9.47,4.1,"2020-2021"
2016,8214,49329732,16.65,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.69,16.93,16.3,0.99,1.09,1.04,-0.98,9.35,4.31,"2020-2021"
2017,7941,49669350,15.99,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.66,16.91,16.29,1,1.09,1.04,-0.35,8.69,4.24,"2020-2021"
2018,9136,49976013,18.28,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.61,16.88,16.2,1,1.07,1.04,0.07,7.37,3.64,"2020-2021"
2019,8595,50230232,17.11,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.42,16.67,16.02,1,1.05,1.02,0.32,5.08,2.48,"2020-2021"
2020,6725,50800839,13.24,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,15.18,16.4,15.76,1,1.02,1.01,0.02,1.77,0.84,"2020-2021"
2021,7326,50850418,14.41,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.89,16.11,15.49,0.98,1,0.99,-1.77,-0.02,-0.84,"2020-2021"
2022,8281,51000988,16.24,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.58,15.99,15.25,0.95,1.01,0.98,-5.44,0.53,-2.31,"2020-2021"
2023,7664,51000988,15.03,7025.5,50825628.5,7649.99,8252.19,7939.39,15.05,16.24,15.62,14.18,16.02,15.05,0.91,1.02,0.96,-8.76,1.77,-3.59,"2020-2021"
