"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,1269,14273094,8.89,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,6.37,11.2,8.58,1.36,2.49,1.84,35.62,149.37,84.03,"2020-2021"
1997,1269,16129864,7.87,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,6.69,10.27,8.34,1.37,2.26,1.79,36.81,125.73,78.76,"2020-2021"
1998,1480,20714198,7.14,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,5.89,8.42,7.03,1.21,1.87,1.51,21.01,87.18,50.87,"2020-2021"
1999,966,25859311,3.74,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,6.24,9.19,7.65,1.29,2.04,1.64,28.67,103.69,63.88,"2020-2021"
2000,2350,30641648,7.67,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,6.43,9.03,7.66,1.3,2,1.64,30.34,99.87,63.95,"2020-2021"
2001,2219,34847937,6.37,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,6.4,8.63,7.45,1.29,1.93,1.59,28.98,92.91,59.33,"2020-2021"
2002,4113,37860565,10.86,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,6.05,8.08,7.03,1.22,1.82,1.5,22,81.78,50.32,"2020-2021"
2003,3039,41753349,7.28,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,5.82,7.62,6.61,1.15,1.71,1.42,15.18,70.77,41.65,"2020-2021"
2004,2248,44344180,5.07,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,5.52,7.14,6.26,1.09,1.61,1.34,9.39,61.06,34.05,"2020-2021"
2005,2095,44766459,4.68,1669.5,50825628.5,2077.34,2702.86,2373.33,4.09,5.32,4.67,5.16,6.7,5.88,1.03,1.52,1.26,2.87,51.83,25.93,"2020-2021"
