"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,374,14273094,2.62,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,2.08,3.16,2.57,1.33,2.12,1.69,33.34,112.16,69.24,"2004-2006"
1997,337,16129864,2.09,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,2.09,2.82,2.42,1.33,1.89,1.6,32.6,89.09,59.57,"2004-2006"
1998,491,20714198,2.37,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,2,2.51,2.25,1.28,1.7,1.48,27.65,69.97,48.13,"2004-2006"
1999,502,25859311,1.94,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.8,2.2,1.99,1.16,1.49,1.31,15.58,49.17,31.34,"2004-2006"
2000,680,30641648,2.22,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.67,2,1.83,1.08,1.35,1.21,7.5,35.04,20.51,"2004-2006"
2001,611,34847937,1.75,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.56,1.86,1.7,1.01,1.24,1.12,1.41,24.2,11.92,"2004-2006"
2002,699,37860565,1.85,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.5,1.77,1.62,0.98,1.15,1.07,-1.62,15.41,6.77,"2004-2006"
2003,513,41753349,1.23,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.41,1.66,1.54,0.96,1.07,1.01,-4.16,6.56,1.18,"2004-2006"
2004,515,44344180,1.16,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.39,1.63,1.5,0.97,1.01,0.99,-3.4,0.95,-1,"2004-2006"
2005,607,44766459,1.36,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.4,1.63,1.52,1,1,1,-0.35,0,0,"2004-2006"
2006,828,45324523,1.83,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.45,1.68,1.56,1,1.06,1.03,-0.29,5.97,2.93,"2004-2006"
2007,839,45842135,1.83,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.52,1.76,1.64,1.02,1.14,1.08,1.66,13.61,7.71,"2004-2006"
2008,775,46326017,1.67,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.61,1.87,1.74,1.06,1.23,1.14,5.7,23.29,14.31,"2004-2006"
2009,755,46759709,1.61,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.74,2.02,1.87,1.13,1.35,1.23,12.73,34.77,22.89,"2004-2006"
2010,910,47144778,1.93,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,1.89,2.18,2.04,1.22,1.48,1.34,22.02,47.53,33.84,"2004-2006"
2011,999,47523111,2.1,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,2.09,2.41,2.25,1.34,1.63,1.48,34.15,62.95,48.12,"2004-2006"
2012,1336,47896024,2.79,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,2.36,2.71,2.53,1.5,1.83,1.67,50.31,83.09,66.66,"2004-2006"
2013,1373,48216768,2.85,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,2.7,3.1,2.9,1.72,2.1,1.91,71.91,109.83,90.68,"2004-2006"
2014,1422,48574193,2.93,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,3.12,3.57,3.35,1.99,2.44,2.2,98.69,143.52,120.34,"2004-2006"
2015,1784,48948539,3.64,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,3.6,4.13,3.86,2.27,2.82,2.54,127.49,181.74,153.71,"2004-2006"
2016,2449,49329732,4.96,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,4.07,4.69,4.37,2.56,3.2,2.87,156.1,219.98,187.16,"2004-2006"
2017,2589,49669350,5.21,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,4.45,5.15,4.79,2.82,3.53,3.15,181.99,252.73,215.06,"2004-2006"
2018,2915,49976013,5.83,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,4.73,5.45,5.08,3.01,3.74,3.35,201.19,274.06,234.56,"2004-2006"
2019,3144,50230232,6.26,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,4.89,5.62,5.26,3.13,3.85,3.47,212.83,285.26,246.52,"2004-2006"
2020,1829,50800839,3.6,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,5.02,5.79,5.39,3.21,3.95,3.55,220.72,294.97,255.08,"2004-2006"
2021,2588,50850418,5.09,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,5.13,5.96,5.54,3.28,4.06,3.65,228.38,305.89,264.6,"2004-2006"
2022,2892,51000988,5.67,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,5.27,6.26,5.75,3.38,4.24,3.79,238.01,323.72,278.5,"2004-2006"
2023,3150,51000988,6.18,607,44766459,625.66,731.6,680.46,1.4,1.63,1.52,5.37,6.76,6.06,3.44,4.54,3.98,244.1,353.51,298.5,"2004-2006"
