"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,0,14273094,0,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.04,0.26,0.12,0.56,4.01,1.68,-43.96,300.53,67.7,"2004-2006"
1997,49,16129864,0.3,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.18,0.1,0.67,2.83,1.51,-33.18,183.04,51.25,"2004-2006"
1998,9,20714198,0.04,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.14,0.09,0.67,2.19,1.29,-33.21,118.93,29.31,"2004-2006"
1999,16,25859311,0.06,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.13,0.08,0.67,1.94,1.22,-32.98,94.43,22.5,"2004-2006"
2000,22,30641648,0.07,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.12,0.08,0.7,1.79,1.2,-30.05,79.31,19.72,"2004-2006"
2001,32,34847937,0.09,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.12,0.08,0.7,1.67,1.14,-30.22,66.9,13.75,"2004-2006"
2002,42,37860565,0.11,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.12,0.08,0.76,1.59,1.13,-23.74,58.79,12.56,"2004-2006"
2003,15,41753349,0.04,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.11,0.07,0.8,1.36,1.05,-20.32,36.31,5.25,"2004-2006"
2004,15,44344180,0.03,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.1,0.07,0.91,1.2,1.04,-8.79,19.72,3.93,"2004-2006"
2005,65,44766459,0.15,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.1,0.07,0.98,1.01,1,-1.66,0.87,0,"2004-2006"
2006,43,45324523,0.09,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.09,0.07,0.84,1.08,0.97,-15.91,7.83,-3.15,"2004-2006"
2007,13,45842135,0.03,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.04,0.09,0.06,0.73,1.15,0.94,-27.43,14.87,-5.51,"2004-2006"
2008,17,46326017,0.04,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.04,0.09,0.06,0.64,1.21,0.93,-35.61,20.72,-6.7,"2004-2006"
2009,32,46759709,0.07,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.04,0.09,0.06,0.61,1.28,0.94,-39.46,27.91,-6.08,"2004-2006"
2010,28,47144778,0.06,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.04,0.09,0.07,0.59,1.38,0.97,-40.62,37.65,-3.03,"2004-2006"
2011,22,47523111,0.05,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.1,0.07,0.6,1.51,1.04,-39.7,51.22,3.53,"2004-2006"
2012,13,47896024,0.03,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.05,0.11,0.08,0.67,1.72,1.15,-33.46,71.66,15.15,"2004-2006"
2013,14,48216768,0.03,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.06,0.13,0.09,0.77,2.01,1.34,-22.57,101.16,34.47,"2004-2006"
2014,26,48574193,0.05,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.08,0.15,0.11,0.97,2.48,1.66,-2.86,148.17,66.34,"2004-2006"
2015,65,48948539,0.13,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.11,0.2,0.15,1.29,3.24,2.19,28.86,224,118.64,"2004-2006"
2016,55,49329732,0.11,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.16,0.28,0.21,1.81,4.5,3.06,80.84,349.68,205.66,"2004-2006"
2017,164,49669350,0.33,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.23,0.4,0.31,2.7,6.68,4.48,169.84,568.27,348.43,"2004-2006"
2018,334,49976013,0.67,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.35,0.6,0.46,3.93,9.9,6.66,293.49,890.3,565.75,"2004-2006"
2019,758,50230232,1.51,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.47,0.86,0.65,5.63,14.31,9.46,462.58,1330.84,845.7,"2004-2006"
2020,316,50800839,0.62,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.62,1.17,0.86,7.34,19.33,12.55,633.72,1833.04,1155.21,"2004-2006"
2021,374,50850418,0.74,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.76,1.5,1.07,8.74,24.36,15.64,773.64,2336.31,1464.09,"2004-2006"
2022,446,51000988,0.87,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.84,2.01,1.32,10.02,32.16,19.28,902,3116.35,1827.73,"2004-2006"
2023,503,51000988,0.99,43,44766459,21.13,42.76,30.61,0.05,0.1,0.07,0.86,3.02,1.69,11.26,47.96,24.77,1025.56,4695.74,2376.78,"2004-2006"
