"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,2064,14273094,14.46,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,12.47,14.55,13.41,0.79,0.95,0.87,-20.63,-5.38,-13.09,"2006-2008"
1997,2186,16129864,13.55,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,12.85,14.47,13.61,0.82,0.95,0.88,-17.82,-5.25,-11.79,"2006-2008"
1998,2820,20714198,13.61,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,13.51,14.83,14.18,0.86,0.98,0.92,-13.68,-2.44,-8.15,"2006-2008"
1999,4155,25859311,16.07,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.01,15.38,14.65,0.89,1.01,0.95,-10.67,0.8,-5.15,"2006-2008"
2000,4315,30641648,14.08,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.38,15.66,14.98,0.92,1.03,0.97,-8.32,2.95,-2.97,"2006-2008"
2001,5240,34847937,15.04,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.52,15.76,15.11,0.93,1.04,0.98,-7.33,3.66,-2.16,"2006-2008"
2002,6149,37860565,16.24,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.58,15.78,15.14,0.93,1.03,0.98,-6.89,3.42,-2.02,"2006-2008"
2003,6038,41753349,14.46,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.57,15.72,15.12,0.94,1.03,0.98,-6.4,2.54,-2.18,"2006-2008"
2004,6498,44344180,14.65,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.56,15.67,15.08,0.94,1.02,0.98,-5.63,1.53,-2.36,"2006-2008"
2005,6504,44766459,14.53,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.57,15.72,15.14,0.96,1.01,0.98,-4.44,0.63,-1.96,"2006-2008"
2006,6689,45324523,14.76,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.66,15.86,15.26,0.97,1,0.99,-2.59,0.16,-1.18,"2006-2008"
2007,6828,45842135,14.89,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.84,16.05,15.44,1,1,1,0,0,0,"2006-2008"
2008,7459,46326017,16.1,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.1,16.27,15.67,1,1.03,1.01,0.16,3.2,1.47,"2006-2008"
2009,7029,46759709,15.03,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.33,16.52,15.91,1,1.06,1.03,0.3,6.49,2.96,"2006-2008"
2010,8274,47144778,17.55,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.51,16.76,16.1,1,1.09,1.04,0.04,8.92,4.16,"2006-2008"
2011,7815,47523111,16.44,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.6,16.88,16.21,1,1.11,1.05,0.09,10.5,4.85,"2006-2008"
2012,7952,47896024,16.6,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.65,16.87,16.24,1,1.11,1.05,-0.12,10.59,5.1,"2006-2008"
2013,7390,48216768,15.33,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.63,16.85,16.23,1,1.11,1.05,0.05,10.67,5.1,"2006-2008"
2014,7557,48574193,15.56,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.59,16.86,16.24,1,1.11,1.05,0.16,10.95,5.15,"2006-2008"
2015,8143,48948539,16.64,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.65,16.92,16.27,1,1.11,1.05,-0.08,10.89,5.34,"2006-2008"
2016,8214,49329732,16.65,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.69,16.93,16.3,1,1.11,1.06,0.19,11.5,5.59,"2006-2008"
2017,7941,49669350,15.99,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.66,16.91,16.29,1,1.11,1.06,-0.5,11.45,5.52,"2006-2008"
2018,9136,49976013,18.28,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.61,16.88,16.2,0.99,1.11,1.05,-1.09,11.23,4.89,"2006-2008"
2019,8595,50230232,17.11,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.42,16.67,16.02,0.98,1.1,1.04,-1.77,10.23,3.74,"2006-2008"
2020,6725,50800839,13.24,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,15.18,16.4,15.76,0.97,1.08,1.02,-3.25,8.27,2.06,"2006-2008"
2021,7326,50850418,14.41,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.89,16.11,15.49,0.95,1.06,1,-4.97,6.11,0.35,"2006-2008"
2022,8281,51000988,16.24,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.58,15.99,15.25,0.93,1.05,0.99,-6.71,5,-1.19,"2006-2008"
2023,7664,51000988,15.03,6828,45842135,6797.21,7350.59,7077.1,14.83,16.03,15.44,14.18,16.02,15.05,0.91,1.05,0.97,-9.36,4.55,-2.52,"2006-2008"
