"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,147,14273094,1.03,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.83,1.27,1.04,0.57,0.89,0.72,-43,-10.69,-27.68,"2020-2021"
1997,139,16129864,0.86,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.77,1.04,0.9,0.53,0.74,0.63,-47.29,-25.86,-37.19,"2020-2021"
1998,181,20714198,0.87,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.62,0.79,0.71,0.42,0.57,0.49,-58.38,-43.48,-50.86,"2020-2021"
1999,162,25859311,0.63,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.56,0.72,0.64,0.38,0.52,0.45,-61.96,-48.46,-55.43,"2020-2021"
2000,133,30641648,0.43,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.49,0.62,0.55,0.33,0.44,0.38,-66.93,-56.12,-61.62,"2020-2021"
2001,144,34847937,0.41,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.42,0.52,0.47,0.28,0.37,0.33,-71.69,-62.84,-67.19,"2020-2021"
2002,169,37860565,0.45,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.38,0.47,0.42,0.26,0.34,0.3,-74.14,-66.36,-70.31,"2020-2021"
2003,162,41753349,0.39,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.37,0.45,0.4,0.25,0.32,0.28,-75.24,-67.86,-71.78,"2020-2021"
2004,175,44344180,0.39,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.34,0.42,0.38,0.23,0.3,0.26,-76.74,-69.87,-73.63,"2020-2021"
2005,163,44766459,0.36,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.33,0.4,0.37,0.22,0.29,0.26,-77.64,-70.94,-74.47,"2020-2021"
2006,163,45324523,0.36,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.32,0.39,0.36,0.22,0.28,0.25,-78.22,-71.85,-75.22,"2020-2021"
2007,164,45842135,0.36,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.32,0.38,0.35,0.21,0.27,0.24,-78.91,-72.73,-75.82,"2020-2021"
2008,166,46326017,0.36,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.31,0.37,0.34,0.21,0.27,0.24,-79.12,-72.96,-76.18,"2020-2021"
2009,152,46759709,0.33,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.31,0.37,0.34,0.21,0.27,0.24,-79.48,-73.31,-76.41,"2020-2021"
2010,159,47144778,0.34,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.3,0.37,0.34,0.2,0.27,0.23,-79.51,-73.37,-76.6,"2020-2021"
2011,163,47523111,0.34,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.31,0.37,0.33,0.2,0.26,0.23,-79.66,-73.71,-76.69,"2020-2021"
2012,162,47896024,0.34,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.31,0.37,0.34,0.21,0.27,0.24,-79.24,-73.29,-76.38,"2020-2021"
2013,177,48216768,0.37,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.32,0.39,0.36,0.22,0.28,0.25,-78.15,-71.85,-75.09,"2020-2021"
2014,136,48574193,0.28,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.36,0.44,0.4,0.25,0.32,0.28,-75.46,-68.38,-72.16,"2020-2021"
2015,154,48948539,0.31,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.43,0.52,0.47,0.29,0.37,0.33,-70.99,-62.88,-66.88,"2020-2021"
2016,318,49329732,0.64,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.54,0.65,0.59,0.37,0.46,0.41,-63.49,-53.7,-58.69,"2020-2021"
2017,498,49669350,1,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.68,0.82,0.75,0.46,0.59,0.52,-53.75,-41.08,-47.89,"2020-2021"
2018,477,49976013,0.95,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,0.84,1.01,0.92,0.58,0.71,0.64,-42.2,-28.68,-35.75,"2020-2021"
2019,681,50230232,1.36,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,1.01,1.2,1.1,0.72,0.82,0.77,-28.01,-18.17,-23.31,"2020-2021"
2020,457,50800839,0.9,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,1.19,1.42,1.3,0.89,0.93,0.91,-11.12,-7.32,-9.29,"2020-2021"
2021,700,50850418,1.38,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,1.43,1.71,1.57,1.07,1.11,1.09,7.31,11.11,9.28,"2020-2021"
2022,1011,51000988,1.98,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,1.76,2.14,1.95,1.27,1.45,1.36,27.06,44.59,35.86,"2020-2021"
2023,1345,51000988,2.64,578.5,50825628.5,668.29,794.44,728.74,1.31,1.56,1.43,2.18,2.84,2.49,1.51,1.98,1.74,50.9,98.01,73.69,"2020-2021"
