"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,0,14273094,0,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.04,0.26,0.12,0.58,4.22,1.79,-42.47,322.08,79.35,"2006-2008"
1997,49,16129864,0.3,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.18,0.1,0.73,3.03,1.62,-26.7,202.73,61.55,"2006-2008"
1998,9,20714198,0.04,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.14,0.09,0.71,2.36,1.38,-28.57,136.42,37.66,"2006-2008"
1999,16,25859311,0.06,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.13,0.08,0.73,2.12,1.3,-26.75,112.42,30,"2006-2008"
2000,22,30641648,0.07,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.12,0.08,0.75,2.04,1.27,-24.67,103.55,27.27,"2006-2008"
2001,32,34847937,0.09,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.12,0.08,0.71,1.93,1.21,-28.81,92.69,21.21,"2006-2008"
2002,42,37860565,0.11,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.12,0.08,0.75,1.9,1.2,-25.44,89.77,19.8,"2006-2008"
2003,15,41753349,0.04,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.11,0.07,0.74,1.69,1.12,-26.04,69.04,11.82,"2006-2008"
2004,15,44344180,0.03,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.1,0.07,0.77,1.55,1.1,-22.51,54.61,10.41,"2006-2008"
2005,65,44766459,0.15,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.1,0.07,0.84,1.34,1.06,-15.75,34.11,5.7,"2006-2008"
2006,43,45324523,0.09,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.09,0.07,0.92,1.15,1.02,-8.49,15.06,1.62,"2006-2008"
2007,13,45842135,0.03,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.04,0.09,0.06,0.98,1,1,-2.09,0.21,0,"2006-2008"
2008,17,46326017,0.04,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.04,0.09,0.06,0.88,1.08,0.99,-11.85,8.46,-1.04,"2006-2008"
2009,32,46759709,0.07,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.04,0.09,0.06,0.8,1.18,1,-19.95,18.09,-0.1,"2006-2008"
2010,28,47144778,0.06,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.04,0.09,0.07,0.76,1.31,1.03,-24.02,30.67,3.46,"2006-2008"
2011,22,47523111,0.05,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.1,0.07,0.74,1.45,1.11,-26.18,44.74,10.58,"2006-2008"
2012,13,47896024,0.03,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.05,0.11,0.08,0.79,1.67,1.23,-20.85,67.49,22.92,"2006-2008"
2013,14,48216768,0.03,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.06,0.13,0.09,0.89,1.99,1.43,-10.52,99.28,43.39,"2006-2008"
2014,26,48574193,0.05,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.08,0.15,0.11,1.12,2.52,1.77,12.48,152.08,77.26,"2006-2008"
2015,65,48948539,0.13,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.11,0.2,0.15,1.47,3.35,2.33,47.5,235.48,132.78,"2006-2008"
2016,55,49329732,0.11,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.16,0.28,0.21,2.07,4.72,3.25,107.38,371.62,224.89,"2006-2008"
2017,164,49669350,0.33,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.23,0.4,0.31,2.97,6.96,4.77,196.52,596.45,377.24,"2006-2008"
2018,334,49976013,0.67,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.35,0.6,0.46,4.37,10.52,7.07,336.53,952.16,607.2,"2006-2008"
2019,758,50230232,1.51,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.47,0.86,0.65,6.26,15.39,10.08,526.27,1439.32,907.93,"2006-2008"
2020,316,50800839,0.62,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.62,1.17,0.86,7.63,20.18,13.42,662.77,1917.66,1241.57,"2006-2008"
2021,374,50850418,0.74,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.76,1.5,1.07,9.9,26.32,16.73,889.57,2532.25,1572.89,"2006-2008"
2022,446,51000988,0.87,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.84,2.01,1.32,10.26,33.62,20.6,925.67,3261.76,1959.66,"2006-2008"
2023,503,51000988,0.99,17,45842135,20.68,40.29,29.48,0.05,0.09,0.06,0.86,3.02,1.69,12.19,50.91,26.37,1119.27,4991.24,2536.71,"2006-2008"
