"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,0,14273094,0,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.04,0.26,0.12,0.13,0.87,0.37,-87.07,-12.84,-62.57,"2016-2018"
1997,49,16129864,0.3,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.18,0.1,0.16,0.62,0.34,-84.49,-37.85,-66.11,"2016-2018"
1998,9,20714198,0.04,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.14,0.09,0.14,0.48,0.29,-85.56,-52.4,-71.04,"2016-2018"
1999,16,25859311,0.06,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.13,0.08,0.15,0.43,0.27,-85.41,-56.69,-72.72,"2016-2018"
2000,22,30641648,0.07,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.12,0.08,0.15,0.41,0.27,-85.05,-58.75,-73.26,"2016-2018"
2001,32,34847937,0.09,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.12,0.08,0.14,0.4,0.26,-85.52,-59.87,-74.48,"2016-2018"
2002,42,37860565,0.11,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.12,0.08,0.15,0.4,0.25,-85.21,-59.7,-74.85,"2016-2018"
2003,15,41753349,0.04,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.11,0.07,0.13,0.36,0.23,-86.75,-63.7,-76.52,"2016-2018"
2004,15,44344180,0.03,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.1,0.07,0.14,0.36,0.23,-86.5,-64.5,-76.76,"2016-2018"
2005,65,44766459,0.15,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.1,0.07,0.13,0.33,0.22,-86.64,-66.89,-77.71,"2016-2018"
2006,43,45324523,0.09,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.09,0.07,0.13,0.31,0.21,-87.01,-68.6,-78.54,"2016-2018"
2007,13,45842135,0.03,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.04,0.09,0.06,0.13,0.31,0.21,-86.94,-69.44,-79.06,"2016-2018"
2008,17,46326017,0.04,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.04,0.09,0.06,0.13,0.3,0.21,-86.78,-69.67,-79.31,"2016-2018"
2009,32,46759709,0.07,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.04,0.09,0.06,0.13,0.3,0.21,-87.01,-69.93,-79.2,"2016-2018"
2010,28,47144778,0.06,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.04,0.09,0.07,0.14,0.31,0.22,-86.44,-68.86,-78.48,"2016-2018"
2011,22,47523111,0.05,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.1,0.07,0.14,0.33,0.23,-85.62,-67.17,-77,"2016-2018"
2012,13,47896024,0.03,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.05,0.11,0.08,0.16,0.36,0.26,-83.73,-63.92,-74.43,"2016-2018"
2013,14,48216768,0.03,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.06,0.13,0.09,0.19,0.41,0.3,-80.6,-59.17,-70.06,"2016-2018"
2014,26,48574193,0.05,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.08,0.15,0.11,0.26,0.49,0.37,-74.05,-51.2,-62.88,"2016-2018"
2015,65,48948539,0.13,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.11,0.2,0.15,0.38,0.6,0.49,-62.26,-39.84,-51.09,"2016-2018"
2016,55,49329732,0.11,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.16,0.28,0.21,0.6,0.77,0.68,-40.23,-23.32,-31.71,"2016-2018"
2017,164,49669350,0.33,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.23,0.4,0.31,1,1,1,0,0,0,"2016-2018"
2018,334,49976013,0.67,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.35,0.6,0.46,1.31,1.68,1.48,31.34,68.44,47.75,"2016-2018"
2019,758,50230232,1.51,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.47,0.86,0.65,1.67,2.69,2.1,67.09,168.64,109.73,"2016-2018"
2020,316,50800839,0.62,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.62,1.17,0.86,1.99,3.85,2.79,98.56,284.65,178.94,"2016-2018"
2021,374,50850418,0.74,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.76,1.5,1.07,2.23,5.06,3.49,122.79,405.96,249.15,"2016-2018"
2022,446,51000988,0.87,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.84,2.01,1.32,2.41,6.92,4.31,140.69,591.82,331.31,"2016-2018"
2023,503,51000988,0.99,164,49669350,115.6,197.35,152.57,0.23,0.4,0.31,0.86,3.02,1.69,2.6,10.41,5.52,160.37,940.54,451.64,"2016-2018"
