"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,1269,14273094,8.89,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,6.37,11.2,8.58,1.15,2.13,1.59,14.99,113,59.22,"2006-2008"
1997,1269,16129864,7.87,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,6.69,10.27,8.34,1.18,1.96,1.55,18.44,95.94,54.88,"2006-2008"
1998,1480,20714198,7.14,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,5.89,8.42,7.03,1.03,1.61,1.31,3.18,61.2,31.08,"2006-2008"
1999,966,25859311,3.74,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,6.24,9.19,7.65,1.11,1.75,1.43,10.6,75.13,42.71,"2006-2008"
2000,2350,30641648,7.67,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,6.43,9.03,7.66,1.14,1.72,1.43,13.54,72.12,42.6,"2006-2008"
2001,2219,34847937,6.37,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,6.4,8.63,7.45,1.12,1.64,1.38,12.07,63.93,38.46,"2006-2008"
2002,4113,37860565,10.86,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,6.05,8.08,7.03,1.09,1.54,1.3,9.16,54.21,30.44,"2006-2008"
2003,3039,41753349,7.28,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,5.82,7.62,6.61,1.06,1.42,1.23,5.97,41.59,22.75,"2006-2008"
2004,2248,44344180,5.07,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,5.52,7.14,6.26,1.03,1.3,1.16,2.92,29.84,16.16,"2006-2008"
2005,2095,44766459,4.68,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,5.16,6.7,5.88,1.01,1.18,1.09,0.52,18.05,9.22,"2006-2008"
2006,2765,45324523,6.1,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.91,6.4,5.59,0.99,1.08,1.04,-0.52,8.02,3.94,"2006-2008"
2007,2869,45842135,6.26,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.71,6.19,5.38,1,1,1,-0.37,0.01,0,"2006-2008"
2008,3043,46326017,6.57,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.55,6,5.21,0.93,1.01,0.97,-7.02,0.6,-3.15,"2006-2008"
2009,1854,46759709,3.96,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.42,5.83,5.07,0.88,1.02,0.94,-12.46,1.58,-5.78,"2006-2008"
2010,1779,47144778,3.77,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.32,5.69,4.96,0.82,1.02,0.92,-17.51,2.14,-7.84,"2006-2008"
2011,1541,47523111,3.24,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.3,5.64,4.89,0.8,1.03,0.91,-20.34,3.11,-9.18,"2006-2008"
2012,2187,47896024,4.57,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.27,5.58,4.86,0.78,1.04,0.9,-22.07,4.14,-9.75,"2006-2008"
2013,2511,48216768,5.21,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.28,5.57,4.86,0.78,1.06,0.9,-22.47,5.7,-9.77,"2006-2008"
2014,2905,48574193,5.98,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.28,5.58,4.89,0.77,1.06,0.91,-23.37,6.36,-9.27,"2006-2008"
2015,3175,48948539,6.49,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.31,5.58,4.9,0.76,1.08,0.91,-23.58,7.57,-8.97,"2006-2008"
2016,2936,49329732,5.95,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.29,5.52,4.88,0.76,1.08,0.91,-24.46,7.81,-9.31,"2006-2008"
2017,2141,49669350,4.31,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.27,5.45,4.81,0.74,1.06,0.89,-26.09,6.38,-10.57,"2006-2008"
2018,2456,49976013,4.91,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.21,5.34,4.73,0.72,1.04,0.88,-28.2,3.69,-12.3,"2006-2008"
2019,2429,50230232,4.84,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.11,5.25,4.65,0.71,1.03,0.86,-29.11,3.1,-13.54,"2006-2008"
2020,1561,50800839,3.07,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.05,5.25,4.64,0.69,1.02,0.86,-31.26,2.03,-13.91,"2006-2008"
2021,1778,50850418,3.5,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.07,5.37,4.7,0.7,1.05,0.87,-30.11,4.71,-12.72,"2006-2008"
2022,2486,51000988,4.87,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.18,5.69,4.88,0.72,1.11,0.91,-27.69,10.75,-9.35,"2006-2008"
2023,2894,51000988,5.67,2869,45842135,2160.59,2834.62,2468.55,4.71,6.18,5.38,4.26,6.3,5.2,0.73,1.21,0.96,-27.19,21.13,-3.58,"2006-2008"
