pathogen,travel,culture,startyear,endyear,yearn,count_median,,,,,,,inc,Est IR,IRR,.value_median,ref_value_median,ref_count_median,population_median,ref_pop_median,pinc_median,pinc_LL,pinc_UL,ref.est.ir_median,ref.est.ir_LL,ref.est.ir_UL,ref.ir_median,rr_median,rr_LL,rr_UL,pct.change_median,pct.change_LL,pct.change_UL
STEC NONO157,Unknown Travel Included,CxCIDT,2006,2008,2023,882,,,,,,,1.73,"1.7 (1.47, 1.98)","3.98 (3.34, 4.79)",864.9833053,195.7271777,199.3333333,51000988,45830891.67,1.696012841,1.471633661,1.982731119,0.427063866,0.386799749,0.4713088,0.434932261,3.98,3.34,4.79,298.03,233.89,378.87
ENTERITIDIS,Unknown Travel Included,CxCIDT,2006,2008,2023,1238,,,,,,,2.43,"2.13 (1.92, 2.38)","0.96 (0.85, 1.09)",1087.917941,1018.193651,992,51000988,45830891.67,2.133131109,1.919915289,2.380279126,2.221631772,2.088063981,2.367674934,2.164478944,0.96,0.85,1.09,-4.03,-15.38,9.34875
YERSINIA,Unknown Travel Included,CxCIDT,2006,2008,2023,1376,,,,,,,2.7,"2.49 (2.18, 2.85)","7.38 (6.3, 8.69)",1268.887035,154.5133259,159.3333333,51000988,45830891.67,2.487965596,2.182648663,2.847198534,0.337137944,0.307702857,0.369813006,0.347654884,7.38,6.3,8.68875,637.675,530.0225,768.53625
SHIGELLA,Unknown Travel Included,CxCIDT,2006,2008,2023,2370,,,,,,,4.65,"4.21 (3.42, 5.26)","0.83 (0.63, 1.09)",2147.223355,2316.585579,2718.333333,51000988,45830891.67,4.210160311,3.420701172,5.256940464,5.05463781,4.409443917,5.940736842,5.931225063,0.83,0.63,1.09,-16.795,-36.60875,9.21
STEC,Unknown Travel Included,CxCIDT,2006,2008,2023,2702,,,,,,,5.3,"5.15 (4.63, 5.75)","3.33 (2.94, 3.79)",2624.765735,707.5152034,755,51000988,45830891.67,5.146499779,4.625118825,5.748246407,1.543751775,1.444522956,1.651836317,1.647360487,3.33,2.94,3.79,233.285,193.61125,278.9675
SALMONELLA,Unknown Travel Included,CxCIDT,2006,2008,2023,7237,,,,,,,14.19,"13.92 (13.1, 14.81)","0.96 (0.9, 1.04)",7097.211839,6622.923815,6447,51000988,45830891.67,13.91583206,13.09652981,14.81056059,14.45078543,13.89614002,15.00017338,14.0669312,0.96,0.9,1.04,-3.69,-10.26,3.68
CAMPYLOBACTER,Unknown Travel Included,CxCIDT,2006,2008,2023,10516,,,,,,,20.62,"19.32 (18.3, 20.41)","1.68 (1.57, 1.79)",9855.255116,5275.989789,5248.666667,51000988,45830891.67,19.32365529,18.29514441,20.41173656,11.51186372,11.15893521,11.88549706,11.45224646,1.68,1.57,1.79,67.83,57.15125,79.3
MISSISSIPPI,Unknown Travel Included,CxCIDT,2016,2018,2023,125,,,,,,,0.25,"0.25 (0.2, 0.35)","1.69 (1.26, 2.35)",129.5077055,74.64892842,70.33333333,51000988,49658365,0.25,0.2,0.35,0.15,0.13,0.18,0.141634412,1.69,1.26,2.35,69.145,26.45125,134.67875
MUENCHEN,Unknown Travel Included,CxCIDT,2016,2018,2023,133,,,,,,,0.26,"0.26 (0.21, 0.35)","0.85 (0.64, 1.18)",134.7252959,153.8792285,153,51000988,49658365,0.26,0.21,0.35,0.31,0.27,0.36,0.30810519,0.85,0.64,1.18,-14.64,-36.00875,18.445
BRAENDERUP,Unknown Travel Included,CxCIDT,2016,2018,2023,138,,,,,,,0.27,"0.28 (0.22, 0.35)","1.17 (0.93, 1.5)",141.4019444,117.7029326,131.6666667,51000988,49658365,0.28,0.22,0.35,0.24,0.21,0.27,0.26514499,1.17,0.93,1.5,16.69,-6.99875,49.6
SAINTPAUL,Unknown Travel Included,CxCIDT,2016,2018,2023,123,,,,,,,0.24,"0.29 (0.23, 0.38)","0.93 (0.71, 1.22)",146.4819896,153.7934203,151.6666667,51000988,49658365,0.29,0.23,0.38,0.31,0.27,0.36,0.305420178,0.93,0.71,1.22,-7.06,-29.0475,22.4575
CAMPYLOBACTER,Unknown Travel Included,CxCIDT,2016,2018,2023,10516,,,,,,,20.62,"19.32 (18.3, 20.41)","1.22 (1.15, 1.3)",9855.255116,7855.77857,8026.666667,51000988,49658365,19.32,18.3,20.41,15.82,15.35,16.31,16.16377556,1.22,1.15,1.3,22.13,14.8,30.11
INFANTIS,Unknown Travel Included,CxCIDT,2016,2018,2023,171,,,,,,,0.34,"0.41 (0.34, 0.5)","1.13 (0.92, 1.41)",208.766943,179.4320129,170.6666667,51000988,49658365,0.41,0.34,0.5,0.36,0.33,0.4,0.343681607,1.13,0.92,1.41,13.455,-8.4775,41.0175
ENTERITIDIS,Unknown Travel Included,CxCIDT,2016,2018,2023,1238,,,,,,,2.43,"2.13 (1.92, 2.38)","1.01 (0.89, 1.14)",1087.917941,1052.6001,1050,51000988,49658365,2.13,1.92,2.38,2.12,2,2.25,2.114447385,1.01,0.89,1.14,0.53,-11,14.27
STEC O157,Unknown Travel Included,CxCIDT,2016,2018,2023,276,,,,,,,0.54,"0.57 (0.5, 0.65)","0.71 (0.61, 0.81)",291.0333489,397.9320937,437,51000988,49658365,0.57,0.5,0.65,0.8,0.75,0.86,0.880012864,0.71,0.61,0.81,-28.61,-38.55,-18.81125
NEWPORT,Unknown Travel Included,CxCIDT,2016,2018,2023,523,,,,,,,1.03,"1.17 (0.94, 1.55)","0.77 (0.58, 1.06)",597.1490066,754.609224,775.3333333,51000988,49658365,1.17,0.94,1.55,1.52,1.34,1.76,1.561334799,0.77,0.58,1.06,-23.03,-41.7,5.86875
SALMONELLA,Unknown Travel Included,CxCIDT,2016,2018,2023,7237,,,,,,,14.19,"13.92 (13.1, 14.81)","0.94 (0.87, 1.01)",7097.211839,7354.228187,7584.666667,51000988,49658365,13.92,13.1,14.81,14.81,14.29,15.38,15.2736939,0.94,0.87,1.01,-6.02,-12.65,0.9875
TYPHIMURIUM,Unknown Travel Included,CxCIDT,2016,2018,2023,505,,,,,,,0.99,"1.15 (1.03, 1.29)","0.84 (0.74, 0.95)",585.7126247,682.0796518,710.6666667,51000988,49658365,1.15,1.03,1.29,1.37,1.3,1.45,1.43111169,0.84,0.74,0.95,-16.37,-25.54875,-5.15125
JAVIANA,Unknown Travel Included,CxCIDT,2016,2018,2023,303,,,,,,,0.59,"0.7 (0.55, 0.95)","0.58 (0.43, 0.81)",357.2318807,602.327861,611.6666667,51000988,49658365,0.7,0.55,0.95,1.21,1.05,1.43,1.231749508,0.58,0.43,0.81,-42.305,-57.10875,-18.74375
CYCLOSPORA,Unknown Travel Included,CxCIDT,2016,2018,2023,367,,,,,,,0.72,"1.25 (0.73, 2.87)","5.06 (2.65, 12.43)",639.139689,122.6442712,132.3333333,51000988,49658365,1.25,0.73,2.87,0.25,0.19,0.34,0.266487496,5.06,2.65,12.42875,406.45,164.70625,1143.34875
STEC NONO157,Unknown Travel Included,CxCIDT,2016,2018,2023,882,,,,,,,1.73,"1.7 (1.47, 1.98)","1 (0.85, 1.19)",864.9833053,844.2665735,857,51000988,49658365,1.7,1.47,1.98,1.7,1.57,1.84,1.725791818,1,0.85,1.19,-0.22,-15.35875,19.0175
"I 4,[5],12:i:-",Unknown Travel Included,CxCIDT,2016,2018,2023,240,,,,,,,0.47,"0.51 (0.42, 0.62)","0.64 (0.52, 0.8)",259.1160592,396.6752837,406,51000988,49658365,0.51,0.42,0.62,0.8,0.73,0.88,0.817586322,0.64,0.52,0.8,-36.365,-48.35875,-20.1825
STEC,Unknown Travel Included,CxCIDT,2016,2018,2023,2702,,,,,,,5.3,"5.15 (4.63, 5.75)","1.25 (1.1, 1.42)",2624.765735,2044.490411,2267,51000988,49658365,5.15,4.63,5.75,4.12,3.86,4.39,4.565192591,1.25,1.1,1.42,24.87,10.06125,42.38875
SHIGELLA,Unknown Travel Included,CxCIDT,2016,2018,2023,2370,,,,,,,4.65,"4.21 (3.42, 5.26)","1.02 (0.81, 1.29)",2147.223355,2045.628136,2084.666667,51000988,49658365,4.21,3.42,5.26,4.12,3.65,4.72,4.198017125,1.02,0.81,1.29,2.225,-19.22875,29.12
YERSINIA,Unknown Travel Included,CxCIDT,2016,2018,2023,1376,,,,,,,2.7,"2.49 (2.18, 2.85)","3.47 (2.97, 4.08)",1268.887035,355.7469742,407.3333333,51000988,49658365,2.49,2.18,2.85,0.72,0.66,0.78,0.820271335,3.47,2.97,4.08,246.765,197.0625,307.8875
VIBRIO,Unknown Travel Included,CxCIDT,2016,2018,2023,501,,,,,,,0.98,"1.02 (0.9, 1.16)","1.64 (1.43, 1.9)",518.3604668,307.3434269,349.6666667,51000988,49658365,1.02,0.9,1.16,0.62,0.58,0.67,0.704144542,1.64,1.43,1.9,64.36,42.91,89.5475
LISTERIA,Unknown Travel Included,CxCIDT,2016,2018,2023,160,,,,,,,0.31,"0.29 (0.26, 0.34)","1.13 (0.98, 1.32)",148.8287311,127.9954907,136.3333333,51000988,49658365,0.29,0.26,0.34,0.26,0.24,0.28,0.274542533,1.13,0.98,1.32,13.205,-2.13625,31.96625
MISSISSIPPI,Unknown Travel Included,CxCIDT,2020,2022,2023,125,,,,,,,0.25,"0.25 (0.2, 0.35)","0.91 (0.7, 1.24)",129.5077055,142.4036205,141.6666667,51000988,50884081.67,0.253931758,0.196440096,0.349268307,0.279858879,0.236970412,0.329906493,0.27841058,0.91,0.7,1.24,-9.1,-30.32,23.77625
MUENCHEN,Unknown Travel Included,CxCIDT,2020,2022,2023,133,,,,,,,0.26,"0.26 (0.21, 0.35)","0.96 (0.81, 1.17)",134.7252959,139.8747204,137.3333333,51000988,50884081.67,0.264162129,0.207570979,0.354789041,0.274888955,0.234871906,0.32958907,0.269894491,0.96,0.81,1.17,-3.89,-18.9,17.10875
BRAENDERUP,Unknown Travel Included,CxCIDT,2020,2022,2023,138,,,,,,,0.27,"0.28 (0.22, 0.35)","1.07 (0.94, 1.23)",141.4019444,131.6156051,111,51000988,50884081.67,0.277253343,0.224267486,0.348165579,0.258657719,0.224751954,0.299638891,0.218142878,1.07,0.94,1.23,7.02,-5.53,23.0675
SAINTPAUL,Unknown Travel Included,CxCIDT,2020,2022,2023,123,,,,,,,0.24,"0.29 (0.23, 0.38)","0.97 (0.84, 1.13)",146.4819896,150.1420285,135,51000988,50884081.67,0.287214023,0.226331599,0.379813764,0.295066794,0.250284923,0.356419811,0.265308905,0.97,0.84,1.13,-2.52,-15.81875,13.42625
LISTERIA,Unknown Travel Included,CxCIDT,2020,2022,2023,160,,,,,,,0.31,"0.29 (0.26, 0.34)","1.06 (0.98, 1.17)",148.8287311,139.7323986,133.3333333,51000988,50884081.67,0.291815388,0.255625741,0.335577513,0.274609257,0.251682067,0.299510422,0.262033487,1.06,0.98,1.17,6.14,-2.24,16.67875
INFANTIS,Unknown Travel Included,CxCIDT,2020,2022,2023,171,,,,,,,0.34,"0.41 (0.34, 0.5)","1.03 (0.91, 1.17)",208.766943,202.4573155,192,51000988,50884081.67,0.409339017,0.342015276,0.498819085,0.397879472,0.355441737,0.448140679,0.377328221,1.03,0.91,1.17,3.07,-9.33,16.75
"I 4,[5],12:i:-",Unknown Travel Included,CxCIDT,2020,2022,2023,240,,,,,,,0.47,"0.51 (0.42, 0.62)","0.88 (0.75, 1.04)",259.1160592,295.1218378,277.6666667,51000988,50884081.67,0.508060862,0.422378303,0.623350784,0.579988531,0.522638539,0.648978137,0.545684736,0.88,0.75,1.04,-12.32,-25.27875,4.01875
STEC O157,Unknown Travel Included,CxCIDT,2020,2022,2023,276,,,,,,,0.54,"0.57 (0.5, 0.65)","0.9 (0.83, 0.96)",291.0333489,323.5819685,288.3333333,51000988,50884081.67,0.57064257,0.501205584,0.649778695,0.635919836,0.583711429,0.696174275,0.566647415,0.9,0.83,0.96,-10.225,-16.65875,-3.94125
JAVIANA,Unknown Travel Included,CxCIDT,2020,2022,2023,303,,,,,,,0.59,"0.7 (0.55, 0.95)","0.76 (0.6, 0.98)",357.2318807,467.6771307,465,51000988,50884081.67,0.700441099,0.549414698,0.94517388,0.919103019,0.792381158,1.087665899,0.913841785,0.76,0.6,0.98,-23.6,-39.8975,-2.25125
VIBRIO,Unknown Travel Included,CxCIDT,2020,2022,2023,501,,,,,,,0.98,"1.02 (0.9, 1.16)","1.17 (1.09, 1.26)",518.3604668,441.2895755,397.6666667,51000988,50884081.67,1.016373382,0.89639789,1.161830807,0.867244846,0.798634853,0.94954679,0.781514874,1.17,1.09,1.26,17.29,8.54375,26.45875
TYPHIMURIUM,Unknown Travel Included,CxCIDT,2020,2022,2023,505,,,,,,,0.99,"1.15 (1.03, 1.29)","1 (0.92, 1.09)",585.7126247,585.8505803,583,51000988,50884081.67,1.148433879,1.034530028,1.290690697,1.151343526,1.082101495,1.227743377,1.14574142,1,0.92,1.09,-0.355,-7.5,9.09
NEWPORT,Unknown Travel Included,CxCIDT,2020,2022,2023,523,,,,,,,1.03,"1.17 (0.94, 1.55)","0.9 (0.75, 1.11)",597.1490066,663.3544741,670,51000988,50884081.67,1.170857723,0.935507799,1.549756439,1.303658143,1.139927566,1.527808411,1.31671827,0.9,0.75,1.11,-10.09,-25.48,11.43
CYCLOSPORA,Unknown Travel Included,CxCIDT,2020,2022,2023,367,,,,,,,0.72,"1.25 (0.73, 2.87)","1.46 (0.95, 2.4)",639.139689,442.9055172,302,51000988,50884081.67,1.253190799,0.727320017,2.868161165,0.870420577,0.624896311,1.377698715,0.593505847,1.46,0.95,2.4,46.03,-4.84,139.5375
STEC NONO157,Unknown Travel Included,CxCIDT,2020,2022,2023,882,,,,,,,1.73,"1.7 (1.47, 1.98)","1.02 (0.9, 1.17)",864.9833053,845.8666361,748.3333333,51000988,50884081.67,1.696012841,1.471633661,1.982731119,1.662340379,1.528893559,1.82029083,1.470662944,1.02,0.9,1.17,2.17,-10.35,16.75875
ENTERITIDIS,Unknown Travel Included,CxCIDT,2020,2022,2023,1238,,,,,,,2.43,"2.13 (1.92, 2.38)","1.08 (0.99, 1.19)",1087.917941,1003.419371,876.3333333,51000988,50884081.67,2.133131109,1.919915289,2.380279126,1.971971073,1.843902668,2.118558716,1.722215091,1.08,0.99,1.19,8.01,-0.65875,18.73875
YERSINIA,Unknown Travel Included,CxCIDT,2020,2022,2023,1376,,,,,,,2.7,"2.49 (2.18, 2.85)","1.59 (1.43, 1.77)",1268.887035,796.489208,699.6666667,51000988,50884081.67,2.487965596,2.182648663,2.847198534,1.565301332,1.442972094,1.705840771,1.375020721,1.59,1.43,1.77,58.83,43.34125,77.17
SHIGELLA,Unknown Travel Included,CxCIDT,2020,2022,2023,2370,,,,,,,4.65,"4.21 (3.42, 5.26)","1.08 (0.95, 1.26)",2147.223355,1973.132638,1623.666667,51000988,50884081.67,4.210160311,3.420701172,5.256940464,3.877701185,3.356698604,4.538147409,3.190912783,1.08,0.95,1.26,8.35,-4.58,25.63
STEC,Unknown Travel Included,CxCIDT,2020,2022,2023,2702,,,,,,,5.3,"5.15 (4.63, 5.75)","1.09 (1.01, 1.19)",2624.765735,2399.226711,2127,51000988,50884081.67,5.146499779,4.625118825,5.748246407,4.715083053,4.409922871,5.051201052,4.180089196,1.09,1.01,1.19,9.18,0.63125,18.77875
SALMONELLA,Unknown Travel Included,CxCIDT,2020,2022,2023,7237,,,,,,,14.19,"13.92 (13.1, 14.81)","0.98 (0.94, 1.02)",7097.211839,7222.44187,6862.666667,51000988,50884081.67,13.91583206,13.09652981,14.81056059,14.19391219,13.65351817,14.76434299,13.48686356,0.98,0.94,1.02,-1.93,-6.36,2.42
CAMPYLOBACTER,Unknown Travel Included,CxCIDT,2020,2022,2023,10516,,,,,,,20.62,"19.32 (18.3, 20.41)","1.14 (1.08, 1.2)",9855.255116,8656.453087,8143.666667,51000988,50884081.67,19.32365529,18.29514441,20.41173656,17.01210438,16.47372469,17.58256032,16.00435028,1.14,1.08,1.2,13.56,8.05,19.66
LISTERIA,Travel Included,Cx,2016,2018,2022,137,,,,,,,0.27,"0.28 (0.26, 0.32)","1.08 (0.97, 1.21)",145.0104801,130.6179027,139.3333333,51000988,49658365,0.284328767,0.256660804,0.315179783,0.263033031,0.244759898,0.283163958,0.280583812,1.08,0.97,1.21,8.09,-3.06,20.54875
LISTERIA,Travel Included,Cx,2020,2022,2022,137,,,,,,,0.27,"0.28 (0.26, 0.32)","1.02 (0.99, 1.06)",145.0104801,141.5192865,134,51000988,50884081.67,0.284328767,0.256660804,0.315179783,0.27812094,0.255075666,0.303372414,0.263343654,1.02,0.99,1.06,2.21,-1.33875,5.96875
LISTERIA,Travel Included,Cx,2004,2006,2022,137,,,,,,,0.27,"0.28 (0.26, 0.32)","1.01 (0.89, 1.15)",145.0104801,126.1201188,124.6666667,51000988,44811720.67,0.284328767,0.256660804,0.315179783,0.28144449,0.260924054,0.303240833,0.278201026,1.01,0.89,1.15,1.07,-10.99875,15.28
LISTERIA,Travel Included,Cx,2006,2008,2022,137,,,,,,,0.27,"0.28 (0.26, 0.32)","1.03 (0.91, 1.17)",145.0104801,126.2513358,122,51000988,45830891.67,0.284328767,0.256660804,0.315179783,0.275472135,0.256219592,0.296288558,0.266195999,1.03,0.91,1.17,3.28,-9.06,17.35
VIBRIO,Travel Included,Cx,2016,2018,2022,224,,,,,,,0.44,"0.49 (0.43, 0.55)","1.01 (0.88, 1.14)",247.8432098,240.1999558,271.3333333,51000988,49658365,0.485957664,0.434306276,0.546700687,0.483704922,0.447312495,0.524747195,0.546400054,1.01,0.88,1.14,0.64,-12.0775,13.96875
VIBRIO,Travel Included,Cx,2020,2022,2022,224,,,,,,,0.44,"0.49 (0.43, 0.55)","0.99 (0.95, 1.03)",247.8432098,248.8161276,223,51000988,50884081.67,0.485957664,0.434306276,0.546700687,0.488986181,0.446035063,0.538485365,0.438251006,0.99,0.95,1.03,-0.5,-4.72,3.09
VIBRIO,Travel Included,Cx,2004,2006,2022,224,,,,,,,0.44,"0.49 (0.43, 0.55)","1.74 (1.5, 2.02)",247.8432098,125.0218048,133.3333333,51000988,44811720.67,0.485957664,0.434306276,0.546700687,0.278993538,0.255457408,0.305030627,0.297541204,1.74,1.5,2.02,74.34,50.1625,101.9275
VIBRIO,Travel Included,Cx,2006,2008,2022,224,,,,,,,0.44,"0.49 (0.43, 0.55)","1.56 (1.35, 1.81)",247.8432098,142.6137931,134,51000988,45830891.67,0.485957664,0.434306276,0.546700687,0.311173944,0.286365304,0.339199409,0.292379212,1.56,1.35,1.81,56.12,34.95,80.58
YERSINIA,Travel Included,Cx,2016,2018,2022,237,,,,,,,0.46,"0.52 (0.47, 0.57)","1.2 (1.04, 1.37)",263.279117,214.5475248,230.6666667,51000988,49658365,0.516223562,0.467626091,0.57030084,0.432047098,0.393260891,0.476448378,0.464507171,1.2,1.04,1.37,19.53,4.21125,37.42875
YERSINIA,Travel Included,Cx,2020,2022,2022,237,,,,,,,0.46,"0.52 (0.47, 0.57)","1.07 (1.02, 1.12)",263.279117,244.7484837,206.3333333,51000988,50884081.67,0.516223562,0.467626091,0.57030084,0.480992239,0.442099517,0.524995817,0.405496821,1.07,1.02,1.12,7.36,2.28,12.34
YERSINIA,Travel Included,Cx,2004,2006,2022,237,,,,,,,0.46,"0.52 (0.47, 0.57)","1.38 (1.21, 1.58)",263.279117,167.2705129,167,51000988,44811720.67,0.516223562,0.467626091,0.57030084,0.373274024,0.342773224,0.40623365,0.372670358,1.38,1.21,1.58,38.32,21.22,57.75875
YERSINIA,Travel Included,Cx,2006,2008,2022,237,,,,,,,0.46,"0.52 (0.47, 0.57)","1.45 (1.27, 1.65)",263.279117,163.2190868,164.3333333,51000988,45830891.67,0.516223562,0.467626091,0.57030084,0.356133343,0.327774707,0.387512927,0.358564556,1.45,1.27,1.65,44.92,27.4125,65.0575
STEC O157,Travel Included,Cx,2016,2018,2022,299,,,,,,,0.59,"0.64 (0.57, 0.71)","0.76 (0.67, 0.84)",324.7603863,417.3476494,460,51000988,49658365,0.636772735,0.573010151,0.707517691,0.840437758,0.783198397,0.904642028,0.92632933,0.76,0.67,0.84,-24.17,-32.56875,-16.02
STEC O157,Travel Included,Cx,2020,2022,2022,299,,,,,,,0.59,"0.64 (0.57, 0.71)","0.95 (0.91, 0.98)",324.7603863,342.4754259,298.3333333,51000988,50884081.67,0.636772735,0.573010151,0.707517691,0.673050224,0.616210673,0.736636068,0.586299926,0.95,0.91,0.98,-5.35,-8.58,-2.48125
STEC O157,Travel Included,Cx,2004,2006,2022,299,,,,,,,0.59,"0.64 (0.57, 0.71)","0.52 (0.46, 0.59)",324.7603863,546.8497118,488.3333333,51000988,44811720.67,0.636772735,0.573010151,0.707517691,1.220327414,1.131205052,1.308812759,1.089744661,0.52,0.46,0.59,-47.77,-53.94875,-40.76
STEC O157,Travel Included,Cx,2006,2008,2022,299,,,,,,,0.59,"0.64 (0.57, 0.71)","0.56 (0.49, 0.63)",324.7603863,526.0541691,552,51000988,45830891.67,0.636772735,0.573010151,0.707517691,1.147815698,1.068902573,1.226119917,1.2044278,0.56,0.49,0.63,-44.45,-50.92,-37.14
STEC NONO157,Travel Included,Cx,2016,2018,2022,1002,,,,,,,1.96,"2.01 (1.82, 2.25)","0.98 (0.86, 1.13)",1025.061206,1018.927951,1040,51000988,49658365,2.009884997,1.823098126,2.24527115,2.051875754,1.896933609,2.22712768,2.094309791,0.98,0.86,1.13,-2.06,-14.16,12.81
STEC NONO157,Travel Included,Cx,2020,2022,2022,1002,,,,,,,1.96,"2.01 (1.82, 2.25)","1.01 (0.95, 1.06)",1025.061206,1017.968909,868.3333333,51000988,50884081.67,2.009884997,1.823098126,2.24527115,2.000564569,1.837063691,2.19812724,1.706493082,1.01,0.95,1.06,0.53,-4.6,5.70875
STEC NONO157,Travel Included,Cx,2004,2006,2022,1002,,,,,,,1.96,"2.01 (1.82, 2.25)","6.65 (5.69, 7.81)",1025.061206,135.3752837,137.6666667,51000988,44811720.67,2.009884997,1.823098126,2.24527115,0.302097937,0.268857022,0.340585674,0.307211293,6.65,5.69,7.81,565.225,469.425,681.46
STEC NONO157,Travel Included,Cx,2006,2008,2022,1002,,,,,,,1.96,"2.01 (1.82, 2.25)","4.05 (3.53, 4.68)",1025.061206,227.5167456,239.3333333,51000988,45830891.67,2.009884997,1.823098126,2.24527115,0.496426618,0.451056921,0.546658935,0.522209638,4.05,3.53,4.68,305.065,253.12,367.62125
SHIGELLA,Travel Included,Cx,2016,2018,2022,1208,,,,,,,2.37,"2.52 (2.15, 3.01)","0.71 (0.59, 0.85)",1284.734847,1766.261574,1775.333333,51000988,49658365,2.519039136,2.1489823,3.013473564,3.556825872,3.168133759,4.032811164,3.575094213,0.71,0.59,0.85,-29.065,-41.06875,-14.69
SHIGELLA,Travel Included,Cx,2020,2022,2022,1208,,,,,,,2.37,"2.52 (2.15, 3.01)","0.96 (0.91, 1.02)",1284.734847,1331.458996,1066.333333,51000988,50884081.67,2.519039136,2.1489823,3.013473564,2.616651322,2.275641118,3.057450079,2.095612809,0.96,0.91,1.02,-3.74,-8.77,2.03
SHIGELLA,Travel Included,Cx,2004,2006,2022,1208,,,,,,,2.37,"2.52 (2.15, 3.01)","0.42 (0.34, 0.53)",1284.734847,2672.904003,2369.333333,51000988,44811720.67,2.519039136,2.1489823,3.013473564,5.96474307,5.228828751,6.918247379,5.2873072,0.42,0.34,0.53,-57.72,-66.3375,-47.02125
SHIGELLA,Travel Included,Cx,2006,2008,2022,1208,,,,,,,2.37,"2.52 (2.15, 3.01)","0.46 (0.37, 0.58)",1284.734847,2506.752164,2892.333333,51000988,45830891.67,2.519039136,2.1489823,3.013473564,5.469568827,4.790247075,6.387319113,6.310881652,0.46,0.37,0.58,-53.92,-63.42875,-41.92125
STEC,Travel Included,Cx,2016,2018,2022,1302,,,,,,,2.55,"2.67 (2.46, 2.92)","0.94 (0.85, 1.05)",1359.516002,1409.603475,1508.666667,51000988,49658365,2.66566601,2.457077305,2.916249417,2.838602267,2.658873525,3.030256378,3.038091703,0.94,0.85,1.05,-6.04,-15.41,4.7775
STEC,Travel Included,Cx,2020,2022,2022,1302,,,,,,,2.55,"2.67 (2.46, 2.92)","0.99 (0.95, 1.02)",1359.516002,1374.638913,1167.333333,51000988,50884081.67,2.66566601,2.457077305,2.916249417,2.701510705,2.521202822,2.910111948,2.294103175,0.99,0.95,1.02,-1.24,-4.65875,2.18
STEC,Travel Included,Cx,2004,2006,2022,1302,,,,,,,2.55,"2.67 (2.46, 2.92)","1.72 (1.55, 1.92)",1359.516002,693.6601816,650,51000988,44811720.67,2.66566601,2.457077305,2.916249417,1.547943643,1.44056553,1.666910949,1.450513371,1.72,1.55,1.92,72.25,54.81,92.21875
STEC,Travel Included,Cx,2006,2008,2022,1302,,,,,,,2.55,"2.67 (2.46, 2.92)","1.6 (1.44, 1.78)",1359.516002,764.7618837,814,51000988,45830891.67,2.66566601,2.457077305,2.916249417,1.668660277,1.560797916,1.786040781,1.776094617,1.6,1.44,1.78,59.85,43.87,78.07875
CAMPYLOBACTER,Travel Included,Cx,2016,2018,2022,4557,,,,,,,8.94,"9.44 (9.1, 9.8)","0.79 (0.76, 0.83)",4813.414326,5910.706204,6007.333333,51000988,49658365,9.43788447,9.098068661,9.796002715,11.90274026,11.56762595,12.25466171,12.09732405,0.79,0.76,0.83,-20.72,-24.23875,-16.98
CAMPYLOBACTER,Travel Included,Cx,2020,2022,2022,4557,,,,,,,8.94,"9.44 (9.1, 9.8)","0.97 (0.95, 0.98)",4813.414326,4962.699722,4607,51000988,50884081.67,9.43788447,9.098068661,9.796002715,9.752951335,9.450675008,10.06391078,9.053912047,0.97,0.95,0.98,-3.22,-4.89,-1.5
CAMPYLOBACTER,Travel Included,Cx,2004,2006,2022,4557,,,,,,,8.94,"9.44 (9.1, 9.8)","0.74 (0.7, 0.78)",4813.414326,5724.956836,5716,51000988,44811720.67,9.43788447,9.098068661,9.796002715,12.77557914,12.40757008,13.17060846,12.75559143,0.74,0.7,0.78,-26.12,-29.55,-22.48
CAMPYLOBACTER,Travel Included,Cx,2006,2008,2022,4557,,,,,,,8.94,"9.44 (9.1, 9.8)","0.74 (0.7, 0.77)",4813.414326,5863.33297,5833.333333,51000988,45830891.67,9.43788447,9.098068661,9.796002715,12.79340802,12.43487602,13.18178588,12.72795078,0.74,0.7,0.77,-26.24,-29.64,-22.63
SALMONELLA,Travel Included,Cx,2016,2018,2022,7036,,,,,,,13.8,"13.34 (12.78, 13.96)","0.9 (0.85, 0.95)",6805.984304,7387.355322,7650.666667,51000988,49658365,13.34480874,12.78184759,13.96356131,14.87635632,14.39444564,15.40831956,15.40660202,0.9,0.85,0.95,-10.28,-14.91,-5.48
SALMONELLA,Travel Included,Cx,2020,2022,2022,7036,,,,,,,13.8,"13.34 (12.78, 13.96)","0.98 (0.96, 1)",6805.984304,6921.426398,6413.333333,51000988,50884081.67,13.34480874,12.78184759,13.96356131,13.60234119,13.11245367,14.13069003,12.60381071,0.98,0.96,1,-1.87,-3.7,-0.12
SALMONELLA,Travel Included,Cx,2004,2006,2022,7036,,,,,,,13.8,"13.34 (12.78, 13.96)","0.88 (0.83, 0.93)",6805.984304,6801.667783,6563.666667,51000988,44811720.67,13.34480874,12.78184759,13.96356131,15.17832318,14.6405825,15.74136799,14.64720963,0.88,0.83,0.93,-12.08,-16.78,-7.01
SALMONELLA,Travel Included,Cx,2006,2008,2022,7036,,,,,,,13.8,"13.34 (12.78, 13.96)","0.86 (0.82, 0.91)",6805.984304,7091.110593,6992,51000988,45830891.67,13.34480874,12.78184759,13.96356131,15.47233827,14.91971927,16.03951319,15.25608546,0.86,0.82,0.91,-13.73,-18.43,-8.67
