pathogen,travel,culture,startyear,endyear,yearn,count_median,,,,,,,inc,Est IR,IRR,.value_median,ref_value_median,ref_count_median,population_median,ref_pop_median,pinc_median,pinc_LL,pinc_UL,ref.est.ir_median,ref.est.ir_LL,ref.est.ir_UL,ref.ir_median,rr_median,rr_LL,rr_UL,pct.change_median,pct.change_LL,pct.change_UL
YERSINIA,Travel Included,Cx,2016,2018,2023,359,,,,,,,0.7,"0.59 (0.51, 0.68)","1.36 (1.14, 1.63)",300.4335078,214.5475248,230.6666667,51000988,49658365,0.59,0.51,0.68,0.43,0.39,0.48,0.464507171,1.36,1.14,1.63,36.33,14.43125,62.89875
STEC O157,Travel Included,Cx,2016,2018,2023,298,,,,,,,0.58,"0.61 (0.53, 0.69)","0.72 (0.62, 0.82)",309.7838624,417.3476494,460,51000988,49658365,0.61,0.53,0.69,0.84,0.78,0.9,0.92632933,0.72,0.62,0.82,-27.66,-37.54,-17.83
STEC NONO157,Travel Included,Cx,2016,2018,2023,1112,,,,,,,2.18,"2.11 (1.83, 2.46)","1.03 (0.87, 1.23)",1074.154254,1018.927951,1040,51000988,49658365,2.11,1.83,2.46,2.05,1.9,2.23,2.094309791,1.03,0.87,1.23,2.63,-12.91875,22.77
SHIGELLA,Travel Included,Cx,2016,2018,2023,1517,,,,,,,2.97,"2.5 (2.06, 3.13)","0.7 (0.56, 0.89)",1277.432931,1766.261574,1775.333333,51000988,49658365,2.5,2.06,3.13,3.56,3.17,4.03,3.575094213,0.7,0.56,0.89,-29.51,-43.51875,-11.31
STEC,Travel Included,Cx,2016,2018,2023,1425,,,,,,,2.79,"2.67 (2.4, 3)","0.94 (0.83, 1.08)",1363.330023,1409.603475,1508.666667,51000988,49658365,2.67,2.4,3,2.84,2.66,3.03,3.038091703,0.94,0.83,1.08,-5.83,-17.40875,7.99875
CAMPYLOBACTER,Travel Included,Cx,2016,2018,2023,5089,,,,,,,9.98,"9.3 (8.83, 9.8)","0.78 (0.74, 0.83)",4741.372896,5910.706204,6007.333333,51000988,49658365,9.3,8.83,9.8,11.9,11.57,12.25,12.09732405,0.78,0.74,0.83,-21.9,-26.46,-17.07
SALMONELLA,Travel Included,Cx,2016,2018,2023,6928,,,,,,,13.58,"13.15 (12.44, 13.96)","0.88 (0.83, 0.95)",6708.573223,7387.355322,7650.666667,51000988,49658365,13.15,12.44,13.96,14.88,14.39,15.41,15.40660202,0.88,0.83,0.94875,-11.55,-17.19875,-5.5
LISTERIA,Travel Included,Cx,2020,2022,2023,161,,,,,,,0.32,"0.29 (0.26, 0.34)","1.06 (0.97, 1.16)",149.9086833,141.5192865,134,51000988,50884081.67,0.2939329,0.258117645,0.336406055,0.27812094,0.255075666,0.303372414,0.263343654,1.06,0.97,1.16,5.54,-2.65,15.65875
VIBRIO,Travel Included,Cx,2020,2022,2023,211,,,,,,,0.41,"0.49 (0.42, 0.56)","1 (0.91, 1.07)",247.7830659,248.8161276,223,51000988,50884081.67,0.485839737,0.420634554,0.562060984,0.488986181,0.446035063,0.538485365,0.438251006,1,0.91,1.07,-0.48,-9.1775,7.47
YERSINIA,Travel Included,Cx,2020,2022,2023,359,,,,,,,0.7,"0.59 (0.51, 0.68)","1.22 (1.08, 1.39)",300.4335078,244.7484837,206.3333333,51000988,50884081.67,0.589073898,0.510341026,0.680051757,0.480992239,0.442099517,0.524995817,0.405496821,1.22,1.08,1.39,22.35,8.42375,38.54625
STEC O157,Travel Included,Cx,2020,2022,2023,298,,,,,,,0.58,"0.61 (0.53, 0.69)","0.9 (0.84, 0.97)",309.7838624,342.4754259,298.3333333,51000988,50884081.67,0.607407571,0.533135028,0.689161792,0.673050224,0.616210673,0.736636068,0.586299926,0.9,0.84,0.97,-9.74,-16.06,-3.44125
STEC NONO157,Travel Included,Cx,2020,2022,2023,1112,,,,,,,2.18,"2.11 (1.83, 2.46)","1.05 (0.92, 1.2)",1074.154254,1017.968909,868.3333333,51000988,50884081.67,2.10614401,1.82884799,2.46418806,2.000564569,1.837063691,2.19812724,1.706493082,1.05,0.92,1.2,5.41,-7.64,20.28
SHIGELLA,Travel Included,Cx,2020,2022,2023,1517,,,,,,,2.97,"2.5 (2.06, 3.13)","0.96 (0.85, 1.1)",1277.432931,1331.458996,1066.333333,51000988,50884081.67,2.504721931,2.059348657,3.12548732,2.616651322,2.275641118,3.057450079,2.095612809,0.96,0.85,1.1,-4.41,-15.11,10.26875
STEC,Travel Included,Cx,2020,2022,2023,1425,,,,,,,2.79,"2.67 (2.4, 3)","0.99 (0.91, 1.07)",1363.330023,1374.638913,1167.333333,51000988,50884081.67,2.673144337,2.397689648,3.001581866,2.701510705,2.521202822,2.910111948,2.294103175,0.99,0.91,1.07,-1.01,-8.7,7.40875
CAMPYLOBACTER,Travel Included,Cx,2020,2022,2023,5089,,,,,,,9.98,"9.3 (8.83, 9.8)","0.95 (0.91, 1)",4741.372896,4962.699722,4607,51000988,50884081.67,9.296629501,8.830383242,9.803458501,9.752951335,9.450675008,10.06391078,9.053912047,0.95,0.91,1,-4.66,-8.55,-0.49
SALMONELLA,Travel Included,Cx,2020,2022,2023,6928,,,,,,,13.58,"13.15 (12.44, 13.96)","0.97 (0.93, 1.01)",6708.573223,6921.426398,6413.333333,51000988,50884081.67,13.15381032,12.43509154,13.96352276,13.60234119,13.11245367,14.13069003,12.60381071,0.97,0.93,1.01,-3.27,-7.31,0.88
BRAENDERUP,Excluded,CxCIDT,2004,2006,2023,116,,,,,,,0.23,"0.21 (0.17, 0.27)","1.61 (1.19, 2.18)",109.275819,59.71393555,57.66666667,51000988,44811720.67,0.214262161,0.172281406,0.272396442,0.133255172,0.11050037,0.163503229,0.128686571,1.61,1.19,2.18,61.135,18.9225,117.67
MUENCHEN,Excluded,CxCIDT,2004,2006,2023,103,,,,,,,0.2,"0.22 (0.18, 0.26)","1.08 (0.85, 1.39)",110.180777,89.41142286,81.33333333,51000988,44811720.67,0.216036554,0.179322249,0.263420019,0.199526868,0.172188294,0.231420241,0.181500135,1.08,0.85,1.39,8.32,-14.73,38.99875
MISSISSIPPI,Excluded,CxCIDT,2004,2006,2023,103,,,,,,,0.2,"0.22 (0.16, 0.32)","1.49 (1.01, 2.44)",110.4608497,65.11255651,70.33333333,51000988,44811720.67,0.216585706,0.159811198,0.323884501,0.145302514,0.114991136,0.184541816,0.156952985,1.49,1.01,2.44,48.81,0.5,144.3475
SAINTPAUL,Excluded,CxCIDT,2004,2006,2023,104,,,,,,,0.2,"0.23 (0.18, 0.32)","1.07 (0.77, 1.54)",118.870988,97.62019491,78.33333333,51000988,44811720.67,0.233075853,0.17867402,0.315321221,0.217845228,0.179441546,0.266489234,0.174805458,1.07,0.77,1.54,6.93,-23.29625,54.32
LISTERIA,Excluded,CxCIDT,2004,2006,2023,138,,,,,,,0.27,"0.26 (0.22, 0.31)","1.49 (1.2, 1.86)",131.7276839,77.59919405,77.66666667,51000988,44811720.67,0.258284573,0.21958869,0.305959435,0.173167182,0.150112842,0.199932731,0.173317751,1.49,1.2,1.86,49.145,19.92125,86.27375
INFANTIS,Excluded,CxCIDT,2004,2006,2023,140,,,,,,,0.27,"0.32 (0.26, 0.4)","2.59 (1.99, 3.4)",164.0806185,55.62183446,57,51000988,44811720.67,0.32172047,0.263494198,0.396737263,0.124123407,0.104018352,0.14811984,0.127198865,2.59,1.99,3.4,158.65,99.4625,239.635
"I 4,[5],12:i:-",Excluded,CxCIDT,2004,2006,2023,201,,,,,,,0.39,"0.43 (0.35, 0.52)","1.08 (0.86, 1.37)",216.926523,176.124848,165.6666667,51000988,44811720.67,0.425337884,0.353021885,0.516724914,0.393032995,0.343301675,0.453810892,0.369694946,1.08,0.86,1.37,8.23,-14.1875,36.89875
STEC O157,Excluded,CxCIDT,2004,2006,2023,245,,,,,,,0.48,"0.49 (0.43, 0.57)","0.5 (0.42, 0.59)",251.9394243,443.2643859,437.6666667,51000988,44811720.67,0.493989301,0.429996888,0.571386944,0.989170644,0.89728657,1.097943107,0.976679003,0.5,0.42,0.59,-50.04,-57.94,-40.56
JAVIANA,Excluded,CxCIDT,2004,2006,2023,235,,,,,,,0.46,"0.56 (0.44, 0.73)","1.24 (0.93, 1.66)",286.2964903,203.2877411,196.3333333,51000988,44811720.67,0.561354792,0.442646242,0.72781946,0.453648595,0.387601534,0.542967297,0.438129423,1.24,0.93,1.66,23.52,-6.61875,65.67875
VIBRIO,Excluded,CxCIDT,2004,2006,2023,389,,,,,,,0.76,"0.82 (0.69, 0.99)","4.94 (3.85, 6.36)",418.1730797,74.40630465,78.33333333,51000988,44811720.67,0.819931331,0.69074786,0.98741534,0.166042061,0.139697455,0.200202898,0.174805458,4.94,3.85,6.36,393.635,284.58375,536.32875
CYCLOSPORA,Excluded,CxCIDT,2004,2006,2023,298,,,,,,,0.58,"0.94 (0.56, 2.16)","39.16 (16.22, 104.73)",481.1956034,10.85737541,13.66666667,51000988,44811720.67,0.943502513,0.562960148,2.163060946,0.024228874,0.014188525,0.048728856,0.030497973,39.16,16.2225,104.725,3816.005,1522.56625,10372.27125
NEWPORT,Excluded,CxCIDT,2004,2006,2023,431,,,,,,,0.85,"0.95 (0.77, 1.19)","1.18 (0.93, 1.53)",482.9612025,359.8432899,332.3333333,51000988,44811720.67,0.946964405,0.773992464,1.186858052,0.803011544,0.703462722,0.93152222,0.741621452,1.18,0.93,1.53,17.735,-7.2275,53.33375
TYPHIMURIUM,Excluded,CxCIDT,2004,2006,2023,416,,,,,,,0.82,"0.96 (0.85, 1.11)","0.53 (0.46, 0.63)",491.2741472,808.7918445,816.3333333,51000988,44811720.67,0.963263981,0.84684245,1.109692725,1.804866746,1.661397111,1.972251676,1.821696023,0.53,0.46,0.63,-46.6,-54.36,-37.28
STEC NONO157,Excluded,CxCIDT,2004,2006,2023,759,,,,,,,1.49,"1.47 (1.29, 1.69)","6.77 (5.63, 8.17)",750.3269323,97.3795688,98.66666667,51000988,44811720.67,1.471200778,1.288178132,1.689483243,0.217308256,0.190606934,0.248311189,0.220180491,6.77,5.63,8.17,577.005,462.53125,717.2575
ENTERITIDIS,Excluded,CxCIDT,2004,2006,2023,995,,,,,,,1.95,"1.79 (1.6, 2)","1.29 (1.11, 1.5)",911.5401907,619.2863725,605.6666667,51000988,44811720.67,1.787299083,1.601192957,2.003332776,1.381974098,1.26815955,1.51978641,1.35158092,1.29,1.11,1.5,29.36,11.3825,49.57875
YERSINIA,Excluded,CxCIDT,2004,2006,2023,1016,,,,,,,1.99,"1.82 (1.56, 2.15)","11.17 (8.86, 14.18)",926.9112882,72.9196053,73.33333333,51000988,44811720.67,1.817437906,1.556598787,2.154242298,0.162724404,0.137185065,0.194144907,0.163647662,11.17,8.86,14.18,1017.135,785.63625,1318.15875
SHIGELLA,Excluded,CxCIDT,2004,2006,2023,1757,,,,,,,3.45,"3.16 (2.52, 4.11)","1.46 (1.05, 2.03)",1610.776545,969.3950471,893.3333333,51000988,44811720.67,3.158324197,2.520456784,4.108893153,2.163262273,1.773274786,2.765316267,1.993526069,1.46,1.05,2.03,45.96,4.8325,103.13625
STEC,Excluded,CxCIDT,2004,2006,2023,2205,,,,,,,4.32,"4.28 (3.9, 4.71)","3.59 (3.18, 4.07)",2181.912395,533.6238493,551.6666667,51000988,44811720.67,4.278176718,3.89715815,4.71242808,1.190813121,1.102008364,1.288119984,1.231076733,3.59,3.18,4.07,259.34,218.18125,306.745
