task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	19/ed9de5	2711805	SPLINE:PREPROCESS (Preprocessing MMWR data)	COMPLETED	0	2025-05-08 16:26:15.949	3m 3s	2m 35s	101.9%	3.7 GB	9.4 GB	612.5 MB	566.4 MB
7	e8/97820f	2712236	SPLINE:TRENDY (VIBRIO)	COMPLETED	0	2025-05-08 16:29:48.754	6m 26s	6m 12s	234.6%	23.6 GB	52.8 GB	876.8 MB	112.1 MB
3	79/d299a1	2712210	SPLINE:TRENDY (CYCLOSPORA)	COMPLETED	0	2025-05-08 16:29:36.778	6m 38s	6m 30s	254.3%	23.6 GB	52.8 GB	876.8 MB	112 MB
8	e6/397fa0	2712238	SPLINE:TRENDY (YERSINIA)	COMPLETED	0	2025-05-08 16:29:54.751	7m	6m 59s	254.3%	23.6 GB	52.8 GB	876.8 MB	112.2 MB
4	16/dbe537	2712185	SPLINE:TRENDY (SALMONELLA)	COMPLETED	0	2025-05-08 16:29:24.818	8m 10s	8m 1s	231.0%	23.6 GB	52.8 GB	876.8 MB	112 MB
5	96/921c4d	2712203	SPLINE:TRENDY (SHIGELLA)	COMPLETED	0	2025-05-08 16:29:30.786	8m 29s	8m 21s	256.8%	23.6 GB	52.8 GB	876.8 MB	112.2 MB
6	e9/95d741	2712221	SPLINE:TRENDY (STEC)	COMPLETED	0	2025-05-08 16:29:42.764	8m 37s	8m 31s	253.7%	23.6 GB	52.8 GB	876.8 MB	112.2 MB
2	4f/0458f4	2712183	SPLINE:TRENDY (CAMPYLOBACTER)	COMPLETED	0	2025-05-08 16:29:20.107	10m 14s	9m 47s	299.7%	23.6 GB	52.8 GB	876.8 MB	112 MB
