task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	0b/8399b3	2704853	SPLINE:PREPROCESS (Preprocessing MMWR data)	COMPLETED	0	2025-05-08 15:04:26.130	2m 39s	2m 22s	102.1%	3.7 GB	9.4 GB	612.5 MB	566.4 MB
3	9d/549388	2705013	SPLINE:TRENDY (CYCLOSPORA)	COMPLETED	0	2025-05-08 15:07:10.804	7m 5s	6m 35s	251.6%	23.6 GB	52.8 GB	876.8 MB	112.1 MB
7	1f/210adf	2705052	SPLINE:TRENDY (VIBRIO)	COMPLETED	0	2025-05-08 15:07:40.590	6m 35s	6m 15s	232.4%	23.6 GB	52.8 GB	876.8 MB	112.1 MB
4	cf/d5c795	2705006	SPLINE:TRENDY (SALMONELLA)	COMPLETED	0	2025-05-08 15:07:06.023	8m 9s	8m 2s	225.0%	23.6 GB	52.8 GB	876.8 MB	112 MB
8	13/3defd7	2705041	SPLINE:TRENDY (YERSINIA)	COMPLETED	0	2025-05-08 15:07:34.716	7m 41s	7m 7s	249.7%	23.6 GB	52.8 GB	876.8 MB	112.2 MB
5	92/fa8d29	2705018	SPLINE:TRENDY (SHIGELLA)	COMPLETED	0	2025-05-08 15:07:16.635	8m 39s	8m 20s	257.5%	23.6 GB	52.8 GB	876.8 MB	112.2 MB
6	e9/ac8dc6	2705036	SPLINE:TRENDY (STEC)	COMPLETED	0	2025-05-08 15:07:28.585	9m 2s	8m 27s	256.4%	23.6 GB	52.8 GB	876.6 MB	112.1 MB
2	f4/eb64b6	2705027	SPLINE:TRENDY (CAMPYLOBACTER)	COMPLETED	0	2025-05-08 15:07:22.646	10m 3s	9m 49s	293.4%	23.6 GB	52.8 GB	876.8 MB	112 MB
